,pid,create_time,username,name,num_handles,ppid,memory_percent,num_threads,vms
60,2600,1597390663.0,,svchost.exe,229,868,0.070188413749053,4,2.5234375
61,2660,1597390663.0,,svchost.exe,200,868,0.049297575582212046,4,2.01953125
62,2668,1597390663.0,,svchost.exe,163,868,0.04286223692851852,5,1.76171875
63,2692,1597405666.0,,WmiPrvSE.exe,166,92,0.060223243818893234,7,3.6875
64,2820,1597390664.0,,svchost.exe,381,868,0.08661293479056935,11,3.4140625
65,2988,1597390664.0,,svchost.exe,141,868,0.0402208665855846,5,1.82421875
66,2996,1597390664.0,,svchost.exe,377,868,0.061447879159708056,7,2.6796875
67,3008,1597405108.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,242,1904,0.3892659511754698,15,37.26171875
68,3096,1597390668.0,,AdminService.exe,216,868,0.052323145247754534,3,3.3046875
69,3136,1597405108.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,238,1904,0.2555405744500247,14,18.875
70,3148,1597390665.0,,svchost.exe,504,868,0.1153318341555599,14,6.05078125
71,3188,1597390668.0,,Updater.exe,306,868,0.07268570934600871,3,4.78125
72,3196,1597390668.0,,Crypserv.exe,186,868,0.05234715770541757,5,3.234375
73,3228,1597390666.0,,svchost.exe,217,868,0.07741616350562672,4,2.50390625
74,3264,1597390666.0,,AvastSvc.exe,5503,868,1.3933228558976396,181,163.4140625
75,3432,1597390780.0,LAPTOP-RSTFGJU4\Vedant Wartikar,WinStore.App.exe,961,92,0.0023292083933144515,20,50.5234375
76,3556,1597390667.0,,spoolsv.exe,434,868,0.09016677852469861,7,5.26171875
77,3592,1597390667.0,,svchost.exe,434,868,0.12270365865811182,13,11.0859375
78,3624,1597390667.0,,svchost.exe,191,868,0.049897887023787946,6,2.09765625
79,3740,1597390671.0,,svchost.exe,166,868,0.044495084049604935,4,1.79296875
80,3852,1597390668.0,,svchost.exe,542,868,0.22674963771204504,12,18.4921875
81,3860,1597390668.0,,svchost.exe,382,868,0.0872612711474713,8,4.5078125
82,3868,1597390668.0,,svchost.exe,479,868,0.12407236874490486,13,10.015625
83,3884,1597390668.0,,svchost.exe,128,868,0.03383355284721713,3,1.26171875
84,3892,1597390709.0,LAPTOP-RSTFGJU4\Vedant Wartikar,NVIDIA Share.exe,332,13084,0.42581291173861,16,46.66015625
85,3904,1597390668.0,,svchost.exe,146,868,0.03906826861775889,2,1.50390625
86,3920,1597390668.0,,svchost.exe,166,868,0.03628282352884677,3,1.50390625
87,3928,1597390668.0,,svchost.exe,135,868,0.03983666726297603,2,1.58984375
88,3936,1597390668.0,,svchost.exe,182,868,0.049369612955201155,5,1.89453125
89,3948,1597390668.0,,svchost.exe,425,868,0.26452123361599994,23,32.62890625
90,3956,1597390668.0,,mDNSResponder.exe,176,868,0.04108531506145388,3,1.859375
91,3972,1597390668.0,,AppleMobileDeviceService.exe,228,868,0.07820857460850689,8,3.50390625
92,3980,1597390668.0,,svchost.exe,444,868,0.14059293961707334,8,5.1328125
93,4004,1597390668.0,,Lavasoft.WCAssistant.WinService.exe,550,868,0.31682036640609146,6,35.56640625
94,4012,1597390734.0,LAPTOP-RSTFGJU4\Vedant Wartikar,AvastUI.exe,643,14228,0.03558646225661873,10,16.43359375
95,4028,1597390668.0,,AiSquared.Magnification.Service.exe,106,868,0.0427181621825403,5,2.90234375
96,4060,1597390668.0,,nvcontainer.exe,707,868,0.23208040331323893,39,13.7890625
97,4068,1597390668.0,,armsvc.exe,146,868,0.03918833090607407,2,1.80859375
98,4076,1597390668.0,,ZoomTextHelperService.exe,68,868,0.021899361388688452,2,0.87109375
99,4116,1597390668.0,,svchost.exe,212,868,0.04423094701531154,14,2.3359375
100,4144,1597390781.0,LAPTOP-RSTFGJU4\Vedant Wartikar,RuntimeBroker.exe,217,92,0.12095074924871024,3,5.42578125
101,4236,1597390668.0,,svchost.exe,210,868,0.05443624152210167,6,2.37890625
102,4260,1597397940.0,LAPTOP-RSTFGJU4\Vedant Wartikar,conhost.exe,118,4648,0.04843312710634277,4,1.69921875
103,4280,1597405656.0,LAPTOP-RSTFGJU4\Vedant Wartikar,python.exe,169,10884,0.156561223962992,3,17.98828125
104,4288,1597398095.0,LAPTOP-RSTFGJU4\Vedant Wartikar,Video.UI.exe,663,92,0.008500410012714597,17,19.671875
105,4316,1597397940.0,LAPTOP-RSTFGJU4\Vedant Wartikar,Code.exe,239,7356,0.10063621006578213,6,7.14453125
106,4384,1597390668.0,,svchost.exe,530,868,0.08690108428252577,9,5.234375
107,4424,1597390669.0,,svchost.exe,238,868,0.04653614295096296,8,2.28125
108,4484,1597390668.0,,svchost.exe,109,868,0.03284904208303268,3,1.3125
109,4564,1597390668.0,,dasHost.exe,139,3904,0.032416817845098034,2,1.29296875
110,4576,1597390668.0,,svchost.exe,404,868,0.07912104799970225,13,3.59765625
111,5296,1597390690.0,LAPTOP-RSTFGJU4\Vedant Wartikar,explorer.exe,2984,9112,1.0141181244829818,85,83.45703125
112,5304,1597390700.0,LAPTOP-RSTFGJU4\Vedant Wartikar,YourPhone.exe,569,92,0.3090163176656049,14,21.67578125
113,5408,1597398192.0,LAPTOP-RSTFGJU4\Vedant Wartikar,RuntimeBroker.exe,469,92,0.1987511120769455,5,12.0390625
114,5460,1597390670.0,,svchost.exe,129,868,0.04473520862623529,2,1.52734375
115,5644,1597405305.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,344,1904,0.603337011241432,17,64.8359375
116,5668,1597390671.0,,rundll32.exe,130,4060,0.04432699684596369,2,1.6015625
117,5728,1597390680.0,,dllhost.exe,196,92,0.06418529933329412,4,3.12109375
118,5796,1597405108.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,233,1904,0.22631741347411038,14,17.39453125
119,5860,1597398725.0,LAPTOP-RSTFGJU4\Vedant Wartikar,Code.exe,606,7356,1.4715794554214727,35,222.4921875
120,5900,1597398726.0,LAPTOP-RSTFGJU4\Vedant Wartikar,CodeHelper.exe,386,5860,0.08594058597600435,13,11.17578125
121,5940,1597390671.0,,svchost.exe,201,868,0.0675470434061191,2,2.1015625
122,5996,1597390722.0,LAPTOP-RSTFGJU4\Vedant Wartikar,jusched.exe,163,1888,0.050354123719385614,1,1.76953125
123,6088,1597390671.0,,aswEngSrv.exe,733,3264,0.6756385212648321,33,59.2109375
124,6112,1597390830.0,LAPTOP-RSTFGJU4\Vedant Wartikar,SystemSettings.exe,831,92,0.002305195935651416,22,23.4609375
125,6232,1597405608.0,,SearchFilterHost.exe,127,6256,0.040004754466617276,4,1.51953125
126,6256,1597390672.0,,SearchIndexer.exe,858,868,0.38672063066318807,17,49.12109375
127,6332,1597405108.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,249,1904,0.33970423855896437,17,29.94140625
128,6376,1597399229.0,LAPTOP-RSTFGJU4\Vedant Wartikar,conhost.exe,125,5860,0.049297575582212046,5,1.765625
129,6568,1597405689.0,LAPTOP-RSTFGJU4\Vedant Wartikar,python.exe,140,11396,0.6832264578863515,1,105.109375
130,6836,1597399019.0,LAPTOP-RSTFGJU4\Vedant Wartikar,conhost.exe,112,10884,0.06651450772660857,2,6.51953125
131,7188,1597390673.0,,aswidsagent.exe,1231,868,0.2871409687345795,23,34.12109375
132,7340,1597396275.0,LAPTOP-RSTFGJU4\Vedant Wartikar,RuntimeBroker.exe,288,92,0.11465948534099492,4,6.08203125
133,7356,1597397937.0,LAPTOP-RSTFGJU4\Vedant Wartikar,Code.exe,885,5296,0.6365222277317473,28,46.14453125
134,7456,1597404888.0,LAPTOP-RSTFGJU4\Vedant Wartikar,ZtUac64.exe,113,13356,0.040004754466617276,3,1.58203125
135,7584,1597391701.0,LAPTOP-RSTFGJU4\Vedant Wartikar,dllhost.exe,139,92,0.05767792330661147,4,2.19140625
136,7696,1597390684.0,,svchost.exe,267,868,0.056549337796448794,7,4.29296875
137,7736,1597405686.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,250,1904,0.2944887807794684,18,24.421875
138,7816,1597405689.0,LAPTOP-RSTFGJU4\Vedant Wartikar,conhost.exe,112,6568,0.0675470434061191,2,6.515625
139,7924,1597390675.0,,unsecapp.exe,132,92,0.04209383828330138,3,1.58203125
140,8128,1597405686.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,243,1904,0.2227635697399811,16,17.5234375
141,8212,1597390689.0,,PresentationFontCache.exe,229,868,0.12179118526691649,4,24.8984375
142,8284,1597390687.0,,NVDisplay.Container.exe,658,1800,0.23921210323916048,29,31.125
143,8496,1597390688.0,LAPTOP-RSTFGJU4\Vedant Wartikar,nvcontainer.exe,336,4060,0.1566332613359811,13,7.16796875
144,8504,1597390688.0,LAPTOP-RSTFGJU4\Vedant Wartikar,nvcontainer.exe,427,4060,0.2902385757731111,24,32.25390625
145,8516,1597390688.0,LAPTOP-RSTFGJU4\Vedant Wartikar,sihost.exe,605,2280,0.17682773823059403,7,7.38671875
146,8524,1597390688.0,LAPTOP-RSTFGJU4\Vedant Wartikar,svchost.exe,493,868,0.1784365728940174,10,11.78515625
147,8548,1597390688.0,LAPTOP-RSTFGJU4\Vedant Wartikar,svchost.exe,117,868,0.04235797531759477,2,1.84765625
148,8572,1597390688.0,LAPTOP-RSTFGJU4\Vedant Wartikar,svchost.exe,562,868,0.2607512777629034,8,12.5546875
149,8688,1597390688.0,LAPTOP-RSTFGJU4\Vedant Wartikar,taskhostw.exe,246,1920,0.1031094932050748,6,6.84375
150,8704,1597390688.0,,svchost.exe,273,868,0.09830700167246767,6,3.68359375
151,8760,1597390688.0,,svchost.exe,167,868,0.04924955066688598,4,1.96484375
152,8836,1597390689.0,LAPTOP-RSTFGJU4\Vedant Wartikar,ctfmon.exe,414,8760,0.09590575590616413,12,4.03125
153,8952,1597390700.0,LAPTOP-RSTFGJU4\Vedant Wartikar,AiSquared.Loader.Generic.exe,635,10404,0.38916990134481766,9,30.6640625
154,9036,1597390689.0,,svchost.exe,142,868,0.046752255069930276,4,1.91796875
155,9104,1597390689.0,,svchost.exe,176,868,0.06041534348019753,3,2.31640625
156,9156,1597390689.0,,svchost.exe,416,868,0.11797320449849383,8,5.6875
157,9208,1597397937.0,LAPTOP-RSTFGJU4\Vedant Wartikar,Code.exe,554,7356,1.4724439038973418,18,232.53125
158,9252,1597390691.0,LAPTOP-RSTFGJU4\Vedant Wartikar,igfxEM.exe,217,8960,0.08829380682698185,3,3.70703125
159,9352,1597390691.0,LAPTOP-RSTFGJU4\Vedant Wartikar,svchost.exe,663,868,0.1904428017255352,6,7.40234375
160,9380,1597390691.0,LAPTOP-RSTFGJU4\Vedant Wartikar,NVIDIA Web Helper.exe,730,8680,0.089758566744427,95,32.3515625
161,9444,1597397941.0,LAPTOP-RSTFGJU4\Vedant Wartikar,Code.exe,419,7356,0.49321588039875086,25,50.1796875
162,9684,1597390692.0,LAPTOP-RSTFGJU4\Vedant Wartikar,conhost.exe,115,9380,0.010253319422116195,2,6.52734375
163,9816,1597390693.0,,GoogleCrashHandler.exe,175,8616,0.006819537976302106,3,1.8125
164,9824,1597390693.0,,GoogleCrashHandler64.exe,154,8616,0.006531388484345678,3,1.78515625
165,9924,1597390697.0,LAPTOP-RSTFGJU4\Vedant Wartikar,StartMenuExperienceHost.exe,607,92,0.46761860052995496,8,28.38671875
166,9988,1597405108.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,231,1904,0.22110671016123162,14,17.921875
167,10264,1597405108.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,239,1904,0.2703082359127916,14,21.61328125
168,10360,1597390699.0,LAPTOP-RSTFGJU4\Vedant Wartikar,SettingSyncHost.exe,483,92,0.06113571721008859,8,6.9375
169,10400,1597390700.0,,svchost.exe,271,868,0.08682904690953668,5,3.609375
170,10436,1597390697.0,LAPTOP-RSTFGJU4\Vedant Wartikar,RuntimeBroker.exe,328,92,0.16208408922549017,3,6.80078125
171,10772,1597392232.0,LAPTOP-RSTFGJU4\Vedant Wartikar,WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe,495,92,0.28983036399283946,10,12.171875
172,10884,1597399019.0,LAPTOP-RSTFGJU4\Vedant Wartikar,python.exe,160,11396,0.7780516531976789,2,120.2421875
173,10892,1597390699.0,LAPTOP-RSTFGJU4\Vedant Wartikar,RuntimeBroker.exe,533,92,0.20093624572428176,11,12.796875
174,11040,1597397938.0,LAPTOP-RSTFGJU4\Vedant Wartikar,Code.exe,450,7356,0.2785685213488758,9,28.09375
175,11144,1597390786.0,,svchost.exe,206,868,0.11120169143751778,3,4.84765625
176,11396,1597398726.0,LAPTOP-RSTFGJU4\Vedant Wartikar,Code.exe,471,5860,0.8442539989746681,25,116.32421875
177,11508,1597404165.0,,svchost.exe,114,868,0.0355624497989557,3,1.5390625
178,11528,1597390702.0,LAPTOP-RSTFGJU4\Vedant Wartikar,AiSquared.Loader.Elevated.exe,327,8952,0.16943190127037908,4,11.56640625
179,11556,1597405107.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,209,1904,0.048577201852320985,8,2.4375
180,11612,1597390702.0,LAPTOP-RSTFGJU4\Vedant Wartikar,AiSquared.Loader.Elevated.exe,307,8952,0.20477823895036748,4,20.7421875
181,11868,1597390793.0,,jhi_service.exe,152,868,0.040412966246888886,2,1.42578125
182,12052,1597391700.0,LAPTOP-RSTFGJU4\Vedant Wartikar,AcerRegistrationBackGroundTask.exe,826,13972,0.3278420844734248,12,40.2109375
183,12104,1597405492.0,,svchost.exe,229,868,0.07124496188622657,9,3.09375
184,12112,1597390792.0,,svchost.exe,534,868,0.13310105282620624,16,10.4609375
185,12196,1597390841.0,LAPTOP-RSTFGJU4\Vedant Wartikar,RemindersServer.exe,206,92,0.008788559504671023,4,2.85546875
186,12292,1597398726.0,LAPTOP-RSTFGJU4\Vedant Wartikar,powershell.exe,415,5860,0.4287904564888264,11,58.15234375
187,12432,1597404885.0,,svchost.exe,114,868,0.034073677423847495,5,1.5546875
188,12436,1597390726.0,LAPTOP-RSTFGJU4\Vedant Wartikar,SearchUI.exe,1088,92,0.875854393259223,37,81.42578125
189,12808,1597390793.0,,svchost.exe,235,868,0.07400639451747568,3,3.1171875
190,12832,1597390794.0,,SgrmBroker.exe,89,868,0.03998074200895424,5,3.5234375
191,12872,1597390708.0,LAPTOP-RSTFGJU4\Vedant Wartikar,NVIDIA Share.exe,480,13084,0.2553724872463834,11,32.89453125
192,12916,1597398726.0,LAPTOP-RSTFGJU4\Vedant Wartikar,conhost.exe,112,5900,0.06723488145649963,2,6.5390625
193,13072,1597390706.0,LAPTOP-RSTFGJU4\Vedant Wartikar,nvsphelper64.exe,220,4060,0.085028112584809,5,3.1953125
194,13084,1597390706.0,LAPTOP-RSTFGJU4\Vedant Wartikar,NVIDIA Share.exe,782,8496,0.37140068267417137,27,21.43359375
195,13236,1597405108.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,556,1904,0.9156190231492098,20,137.26953125
196,13296,1597390717.0,LAPTOP-RSTFGJU4\Vedant Wartikar,Skype.exe,827,5296,0.4556603966137632,26,32.69140625
197,13368,1597390907.0,,svchost.exe,151,868,0.06884371611992302,4,1.9921875
198,13448,1597390709.0,LAPTOP-RSTFGJU4\Vedant Wartikar,SecurityHealthSystray.exe,158,5296,0.05974299466563253,1,2.078125
199,13472,1597390710.0,,SecurityHealthService.exe,392,868,0.09141542632317647,11,4.046875
200,13536,1597390710.0,LAPTOP-RSTFGJU4\Vedant Wartikar,RuntimeBroker.exe,279,92,0.11869357822838489,3,5.78515625
201,13588,1597399298.0,LAPTOP-RSTFGJU4\Vedant Wartikar,Code.exe,228,11396,0.20420193996645458,10,17.18359375
202,13724,1597390710.0,LAPTOP-RSTFGJU4\Vedant Wartikar,RAVCpl64.exe,401,5296,0.09984379896290196,11,4.734375
203,13740,1597390711.0,LAPTOP-RSTFGJU4\Vedant Wartikar,YourPhoneServer.exe,272,92,0.13540624876185764,5,7.8359375
204,13852,1597390780.0,LAPTOP-RSTFGJU4\Vedant Wartikar,ApplicationFrameHost.exe,399,92,0.2170966297315047,3,20.09375
205,13908,1597390720.0,LAPTOP-RSTFGJU4\Vedant Wartikar,Skype.exe,263,13296,0.09225586234138271,6,9.4921875
206,13964,1597390711.0,LAPTOP-RSTFGJU4\Vedant Wartikar,RAVBg64.exe,368,5296,0.103253567951053,7,7.484375
207,13988,1597390720.0,LAPTOP-RSTFGJU4\Vedant Wartikar,Skype.exe,370,13296,0.14270603589142047,8,10.7890625
208,14008,1597392335.0,LAPTOP-RSTFGJU4\Vedant Wartikar,RuntimeBroker.exe,321,92,0.1172288183109397,3,4.515625
209,14012,1597390720.0,LAPTOP-RSTFGJU4\Vedant Wartikar,Skype.exe,537,13296,0.28918202763593753,17,38.8671875
210,14040,1597404425.0,LAPTOP-RSTFGJU4\Vedant Wartikar,RuntimeBroker.exe,368,92,0.1717611096636935,12,6.734375
211,14044,1597390721.0,LAPTOP-RSTFGJU4\Vedant Wartikar,Skype.exe,445,13296,0.5895298480851866,18,119.5
212,14128,1597390712.0,,svchost.exe,161,868,0.050570235838352934,3,2.0078125
213,14160,1597405108.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,240,1904,0.27472652812279014,14,21.9140625
214,14176,1597390712.0,LAPTOP-RSTFGJU4\Vedant Wartikar,RAVBg64.exe,320,5296,0.09398475929312128,6,6.234375
215,14228,1597390713.0,LAPTOP-RSTFGJU4\Vedant Wartikar,AvastUI.exe,2243,14220,0.3938523305891096,49,48.2109375
216,14244,1597390713.0,LAPTOP-RSTFGJU4\Vedant Wartikar,DolbyDAX2TrayIcon.exe,141,5296,0.06730691882948873,1,3.9921875
217,14284,1597390714.0,LAPTOP-RSTFGJU4\Vedant Wartikar,OneDrive.exe,551,5296,0.27258941939077996,15,15.90625
218,14304,1597405297.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,272,1904,0.10692747397349744,8,7.0078125
219,14436,1597405690.0,LAPTOP-RSTFGJU4\Vedant Wartikar,python.exe,630,1916,0.3654936180890646,8,271.7109375
220,14768,1597405319.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,221,1904,0.1338214265560973,14,12.02734375
221,14796,1597405424.0,LAPTOP-RSTFGJU4\Vedant Wartikar,Code.exe,226,11396,0.34140912305303994,8,41.1796875
222,15348,1597405444.0,,SearchProtocolHost.exe,370,6256,0.07681585206405082,6,2.5078125
