--------------------------------------------------------------------------------
Process Log at Fri Aug 14 17:18:11 2020
--------------------------------------------------------------------------------
{'pid': 1368, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 250, 'ppid': 868, 'memory_percent': 0.05213104558645025, 'num_threads': 3, 'vms': 2.12109375}
{'pid': 1388, 'create_time': 1597390673.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 238, 'ppid': 868, 'memory_percent': 0.06356097543405519, 'num_threads': 8, 'vms': 2.83984375}
{'pid': 1428, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 134, 'ppid': 868, 'memory_percent': 0.03645091073248802, 'num_threads': 6, 'vms': 1.54296875}
{'pid': 1456, 'create_time': 1597390696.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'svchost.exe', 'num_handles': 315, 'ppid': 868, 'memory_percent': 0.13761539486685692, 'num_threads': 9, 'vms': 4.16796875}
{'pid': 1572, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 430, 'ppid': 868, 'memory_percent': 0.11036125541931154, 'num_threads': 9, 'vms': 14.828125}
{'pid': 1624, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 153, 'ppid': 868, 'memory_percent': 0.051602771517863466, 'num_threads': 2, 'vms': 1.77734375}
{'pid': 1676, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 150, 'ppid': 868, 'memory_percent': 0.055564827032264334, 'num_threads': 4, 'vms': 5.01953125}
{'pid': 1708, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 227, 'ppid': 868, 'memory_percent': 0.0469683671888976, 'num_threads': 8, 'vms': 2.39453125}
{'pid': 1732, 'create_time': 1597390832.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 221, 'ppid': 868, 'memory_percent': 0.07431855646709513, 'num_threads': 5, 'vms': 3.08203125}
{'pid': 1800, 'create_time': 1597390661.0, 'username': None, 'name': 'NVDisplay.Container.exe', 'num_handles': 328, 'ppid': 868, 'memory_percent': 0.10056417269279302, 'num_threads': 8, 'vms': 5.77734375}
{'pid': 1864, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 301, 'ppid': 868, 'memory_percent': 0.07744017596328975, 'num_threads': 6, 'vms': 2.7890625}
{'pid': 1892, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 388, 'ppid': 868, 'memory_percent': 0.07669578977573564, 'num_threads': 9, 'vms': 4.84765625}
{'pid': 1904, 'create_time': 1597405107.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'num_handles': 1639, 'ppid': 5296, 'memory_percent': 1.1897212273727609, 'num_threads': 33, 'vms': 125.359375}
{'pid': 1916, 'create_time': 1597399229.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'powershell.exe', 'num_handles': 514, 'ppid': 5860, 'memory_percent': 0.4337610352250748, 'num_threads': 12, 'vms': 58.55859375}
{'pid': 1920, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 408, 'ppid': 868, 'memory_percent': 0.09653007980540304, 'num_threads': 11, 'vms': 6.40625}
{'pid': 1936, 'create_time': 1597403261.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 172, 'ppid': 868, 'memory_percent': 0.047880840580092954, 'num_threads': 4, 'vms': 2.28125}
{'pid': 1952, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 175, 'ppid': 868, 'memory_percent': 0.06332085085742482, 'num_threads': 3, 'vms': 2.140625}
{'pid': 1968, 'create_time': 1597405656.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'conhost.exe', 'num_handles': 112, 'ppid': 4280, 'memory_percent': 0.0675470434061191, 'num_threads': 2, 'vms': 6.5234375}
{'pid': 2052, 'create_time': 1597390661.0, 'username': None, 'name': 'wsc_proxy.exe', 'num_handles': 304, 'ppid': 868, 'memory_percent': 0.06721086899883659, 'num_threads': 7, 'vms': 3.98828125}
{'pid': 2104, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 309, 'ppid': 868, 'memory_percent': 0.05354778058856935, 'num_threads': 18, 'vms': 3.62890625}
{'pid': 2184, 'create_time': 1597390662.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 185, 'ppid': 868, 'memory_percent': 0.05198697084047203, 'num_threads': 3, 'vms': 1.99609375}
{'pid': 2232, 'create_time': 1597390662.0, 'username': None, 'name': 'Memory Compression', 'num_handles': 0, 'ppid': 4, 'memory_percent': 0.17142493525641103, 'num_threads': 50, 'vms': 0.14453125}
{'pid': 2276, 'create_time': 1597398096.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'num_handles': 130, 'ppid': 92, 'memory_percent': 0.049369612955201155, 'num_threads': 3, 'vms': 1.87109375}
{'pid': 2280, 'create_time': 1597390662.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 310, 'ppid': 868, 'memory_percent': 0.06248041483921859, 'num_threads': 6, 'vms': 2.79296875}
{'pid': 2324, 'create_time': 1597398726.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'conhost.exe', 'num_handles': 121, 'ppid': 5860, 'memory_percent': 0.048385102191016695, 'num_threads': 5, 'vms': 1.7421875}
{'pid': 2332, 'create_time': 1597390662.0, 'username': None, 'name': 'igfxCUIService.exe', 'num_handles': 174, 'ppid': 868, 'memory_percent': 0.052611294739710955, 'num_threads': 3, 'vms': 1.86328125}
{'pid': 2340, 'create_time': 1597390662.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 504, 'ppid': 868, 'memory_percent': 0.05501254050601452, 'num_threads': 8, 'vms': 2.8046875}
{'pid': 2360, 'create_time': 1597396274.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'ShellExperienceHost.exe', 'num_handles': 546, 'ppid': 92, 'memory_percent': 0.3537515262918402, 'num_threads': 14, 'vms': 17.01953125}
{'pid': 2384, 'create_time': 1597390662.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 191, 'ppid': 868, 'memory_percent': 0.09883527574105445, 'num_threads': 4, 'vms': 7.3125}
{'pid': 2404, 'create_time': 1597390734.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 271, 'ppid': 868, 'memory_percent': 0.09633798014409875, 'num_threads': 8, 'vms': 4.9296875}
{'pid': 2416, 'create_time': 1597390793.0, 'username': None, 'name': 'LMS.exe', 'num_handles': 273, 'ppid': 868, 'memory_percent': 0.07448664367073637, 'num_threads': 4, 'vms': 3.28515625}
{'pid': 2600, 'create_time': 1597390663.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 229, 'ppid': 868, 'memory_percent': 0.070188413749053, 'num_threads': 4, 'vms': 2.5234375}
{'pid': 2660, 'create_time': 1597390663.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 200, 'ppid': 868, 'memory_percent': 0.049297575582212046, 'num_threads': 4, 'vms': 2.01953125}
{'pid': 2668, 'create_time': 1597390663.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 163, 'ppid': 868, 'memory_percent': 0.04286223692851852, 'num_threads': 5, 'vms': 1.76171875}
{'pid': 2692, 'create_time': 1597405666.0, 'username': None, 'name': 'WmiPrvSE.exe', 'num_handles': 166, 'ppid': 92, 'memory_percent': 0.060223243818893234, 'num_threads': 7, 'vms': 3.6875}
{'pid': 2820, 'create_time': 1597390664.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 381, 'ppid': 868, 'memory_percent': 0.08661293479056935, 'num_threads': 11, 'vms': 3.4140625}
{'pid': 2988, 'create_time': 1597390664.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 141, 'ppid': 868, 'memory_percent': 0.0402208665855846, 'num_threads': 5, 'vms': 1.82421875}
{'pid': 2996, 'create_time': 1597390664.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 377, 'ppid': 868, 'memory_percent': 0.061447879159708056, 'num_threads': 7, 'vms': 2.6796875}
{'pid': 3008, 'create_time': 1597405108.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'num_handles': 242, 'ppid': 1904, 'memory_percent': 0.3892659511754698, 'num_threads': 15, 'vms': 37.26171875}
{'pid': 3096, 'create_time': 1597390668.0, 'username': None, 'name': 'AdminService.exe', 'num_handles': 216, 'ppid': 868, 'memory_percent': 0.052323145247754534, 'num_threads': 3, 'vms': 3.3046875}
{'pid': 3136, 'create_time': 1597405108.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'num_handles': 238, 'ppid': 1904, 'memory_percent': 0.2555405744500247, 'num_threads': 14, 'vms': 18.875}
{'pid': 3148, 'create_time': 1597390665.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 504, 'ppid': 868, 'memory_percent': 0.1153318341555599, 'num_threads': 14, 'vms': 6.05078125}
{'pid': 3188, 'create_time': 1597390668.0, 'username': None, 'name': 'Updater.exe', 'num_handles': 306, 'ppid': 868, 'memory_percent': 0.07268570934600871, 'num_threads': 3, 'vms': 4.78125}
{'pid': 3196, 'create_time': 1597390668.0, 'username': None, 'name': 'Crypserv.exe', 'num_handles': 186, 'ppid': 868, 'memory_percent': 0.05234715770541757, 'num_threads': 5, 'vms': 3.234375}
{'pid': 3228, 'create_time': 1597390666.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 217, 'ppid': 868, 'memory_percent': 0.07741616350562672, 'num_threads': 4, 'vms': 2.50390625}
