--------------------------------------------------------------------------------
Process Log at Sat Aug  8 20:04:11 2020
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.19921875}
{'name': 'svchost.exe', 'pid': 84, 'username': None, 'vms': 27.83203125}
{'name': 'Registry', 'pid': 120, 'username': None, 'vms': 13.3203125}
{'name': 'svchost.exe', 'pid': 148, 'username': None, 'vms': 6.9453125}
{'name': 'jusched.exe', 'pid': 264, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.78125}
{'name': 'smss.exe', 'pid': 424, 'username': None, 'vms': 1.15234375}
{'name': 'fontdrvhost.exe', 'pid': 468, 'username': None, 'vms': 1.63671875}
{'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'pid': 472, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 12.13671875}
{'name': 'svchost.exe', 'pid': 568, 'username': None, 'vms': 1.9921875}
{'name': 'ctfmon.exe', 'pid': 648, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.109375}
{'name': 'csrss.exe', 'pid': 656, 'username': None, 'vms': 2.08984375}
{'name': 'wininit.exe', 'pid': 768, 'username': None, 'vms': 1.78515625}
{'name': 'services.exe', 'pid': 840, 'username': None, 'vms': 6.578125}
{'name': 'lsass.exe', 'pid': 852, 'username': None, 'vms': 12.47265625}
{'name': 'conhost.exe', 'pid': 980, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.73828125}
{'name': 'svchost.exe', 'pid': 984, 'username': None, 'vms': 0.953125}
{'name': 'svchost.exe', 'pid': 1048, 'username': None, 'vms': 13.4921875}
{'name': 'svchost.exe', 'pid': 1096, 'username': None, 'vms': 4.171875}
{'name': 'chrome.exe', 'pid': 1128, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 31.31640625}
{'name': 'NVDisplay.Container.exe', 'pid': 1260, 'username': None, 'vms': 10.81640625}
{'name': 'svchost.exe', 'pid': 1300, 'username': None, 'vms': 2.875}
{'name': 'svchost.exe', 'pid': 1396, 'username': None, 'vms': 2.6015625}
{'name': 'svchost.exe', 'pid': 1440, 'username': None, 'vms': 1.63671875}
{'name': 'svchost.exe', 'pid': 1464, 'username': None, 'vms': 21.87109375}
{'name': 'svchost.exe', 'pid': 1484, 'username': None, 'vms': 8.515625}
{'name': 'svchost.exe', 'pid': 1520, 'username': None, 'vms': 10.16796875}
