--------------------------------------------------------------------------------
Process Log at Mon Aug 10 13:22:57 2020
--------------------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.19921875}
{'pid': 88, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'vms': 12.27734375}
{'pid': 120, 'username': None, 'name': 'Registry', 'vms': 11.2421875}
{'pid': 148, 'username': None, 'name': 'svchost.exe', 'vms': 10.88671875}
{'pid': 388, 'username': None, 'name': 'svchost.exe', 'vms': 0.93359375}
{'pid': 468, 'username': None, 'name': 'smss.exe', 'vms': 1.1640625}
{'pid': 512, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'python.exe', 'vms': 204.765625}
{'pid': 532, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'conhost.exe', 'vms': 6.51953125}
{'pid': 560, 'username': None, 'name': 'svchost.exe', 'vms': 14.671875}
{'pid': 684, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 19.875}
{'pid': 692, 'username': None, 'name': 'csrss.exe', 'vms': 2.3203125}
{'pid': 700, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'nvsphelper64.exe', 'vms': 3.21484375}
{'pid': 716, 'username': None, 'name': 'csrss.exe', 'vms': 2.54296875}
{'pid': 792, 'username': None, 'name': 'wininit.exe', 'vms': 1.59375}
{'pid': 864, 'username': None, 'name': 'services.exe', 'vms': 5.5}
{'pid': 880, 'username': None, 'name': 'lsass.exe', 'vms': 7.8515625}
{'pid': 952, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.57421875}
{'pid': 1012, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'YourPhone.exe', 'vms': 25.69140625}
{'pid': 1080, 'username': None, 'name': 'svchost.exe', 'vms': 9.2265625}
{'pid': 1128, 'username': None, 'name': 'svchost.exe', 'vms': 2.8046875}
{'pid': 1144, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'vms': 49.3984375}
{'pid': 1220, 'username': None, 'name': 'PresentationFontCache.exe', 'vms': 24.71484375}
{'pid': 1288, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'python.exe', 'vms': 274.52734375}
{'pid': 1344, 'username': None, 'name': 'svchost.exe', 'vms': 2.64453125}
{'pid': 1384, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 41.8984375}
{'pid': 1400, 'username': None, 'name': 'svchost.exe', 'vms': 2.15625}
{'pid': 1440, 'username': None, 'name': 'svchost.exe', 'vms': 1.5390625}
{'pid': 1452, 'username': None, 'name': 'SearchProtocolHost.exe', 'vms': 2.546875}
{'pid': 1508, 'username': None, 'name': 'svchost.exe', 'vms': 2.5234375}
{'pid': 1544, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'vms': 5.46484375}
{'pid': 1576, 'username': None, 'name': 'svchost.exe', 'vms': 6.671875}
{'pid': 1612, 'username': None, 'name': 'svchost.exe', 'vms': 3.15234375}
{'pid': 1636, 'username': None, 'name': 'svchost.exe', 'vms': 2.2578125}
{'pid': 1640, 'username': None, 'name': 'svchost.exe', 'vms': 1.55078125}
{'pid': 1656, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Skype.exe', 'vms': 9.5078125}
{'pid': 1756, 'username': None, 'name': 'svchost.exe', 'vms': 16.27734375}
{'pid': 1796, 'username': None, 'name': 'svchost.exe', 'vms': 1.296875}
{'pid': 1800, 'username': None, 'name': 'svchost.exe', 'vms': 8.921875}
{'pid': 1864, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Skype.exe', 'vms': 38.96484375}
{'pid': 1896, 'username': None, 'name': 'svchost.exe', 'vms': 2.875}
