--------------------------------------------------------------------------------
Process Log at Mon Aug 10 13:34:03 2020
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'pid': 2728, 'username': None, 'vms': 2.90625}
{'name': 'svchost.exe', 'pid': 2856, 'username': None, 'vms': 2.46484375}
{'name': 'svchost.exe', 'pid': 2924, 'username': None, 'vms': 3.65234375}
{'name': 'svchost.exe', 'pid': 3028, 'username': None, 'vms': 1.8828125}
{'name': 'svchost.exe', 'pid': 3036, 'username': None, 'vms': 2.96484375}
{'name': 'svchost.exe', 'pid': 3164, 'username': None, 'vms': 2.05859375}
{'name': 'svchost.exe', 'pid': 3252, 'username': None, 'vms': 4.87890625}
{'name': 'svchost.exe', 'pid': 3256, 'username': None, 'vms': 6.2421875}
{'name': 'svchost.exe', 'pid': 3276, 'username': None, 'vms': 2.06640625}
{'name': 'svchost.exe', 'pid': 3348, 'username': None, 'vms': 2.9609375}
{'name': 'AvastSvc.exe', 'pid': 3368, 'username': None, 'vms': 170.671875}
{'name': 'svchost.exe', 'pid': 3432, 'username': None, 'vms': 9.31640625}
{'name': 'svchost.exe', 'pid': 3744, 'username': None, 'vms': 6.03515625}
{'name': 'spoolsv.exe', 'pid': 3764, 'username': None, 'vms': 5.17578125}
{'name': 'chrome.exe', 'pid': 3788, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 35.046875}
{'name': 'svchost.exe', 'pid': 3796, 'username': None, 'vms': 11.640625}
{'name': 'dwm.exe', 'pid': 3844, 'username': None, 'vms': 80.1015625}
{'name': 'svchost.exe', 'pid': 3912, 'username': None, 'vms': 1.9453125}
{'name': 'chrome.exe', 'pid': 4056, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 42.30859375}
{'name': 'NVIDIA Share.exe', 'pid': 4076, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 20.49609375}
{'name': 'mDNSResponder.exe', 'pid': 4128, 'username': None, 'vms': 1.9375}
{'name': 'AdminService.exe', 'pid': 4136, 'username': None, 'vms': 3.9921875}
{'name': 'AiSquared.Magnification.Service.exe', 'pid': 4144, 'username': None, 'vms': 2.82421875}
{'name': 'Crypserv.exe', 'pid': 4152, 'username': None, 'vms': 3.2265625}
{'name': 'svchost.exe', 'pid': 4160, 'username': None, 'vms': 18.69921875}
{'name': 'svchost.exe', 'pid': 4176, 'username': None, 'vms': 30.19140625}
{'name': 'svchost.exe', 'pid': 4184, 'username': None, 'vms': 5.54296875}
{'name': 'svchost.exe', 'pid': 4208, 'username': None, 'vms': 1.5859375}
{'name': 'svchost.exe', 'pid': 4216, 'username': None, 'vms': 5.046875}
{'name': 'svchost.exe', 'pid': 4228, 'username': None, 'vms': 1.5078125}
{'name': 'svchost.exe', 'pid': 4240, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.84375}
{'name': 'ZoomTextHelperService.exe', 'pid': 4244, 'username': None, 'vms': 0.859375}
{'name': 'armsvc.exe', 'pid': 4252, 'username': None, 'vms': 1.82421875}
{'name': 'svchost.exe', 'pid': 4260, 'username': None, 'vms': 1.953125}
{'name': 'svchost.exe', 'pid': 4268, 'username': None, 'vms': 1.25390625}
{'name': 'svchost.exe', 'pid': 4276, 'username': None, 'vms': 5.04296875}
{'name': 'Lavasoft.WCAssistant.WinService.exe', 'pid': 4284, 'username': None, 'vms': 36.875}
{'name': 'Updater.exe', 'pid': 4292, 'username': None, 'vms': 4.77734375}
{'name': 'AppleMobileDeviceService.exe', 'pid': 4300, 'username': None, 'vms': 3.40625}
{'name': 'nvcontainer.exe', 'pid': 4312, 'username': None, 'vms': 13.95703125}
{'name': 'OfficeClickToRun.exe', 'pid': 4364, 'username': None, 'vms': 34.47265625}
{'name': 'svchost.exe', 'pid': 4416, 'username': None, 'vms': 5.66015625}
{'name': 'svchost.exe', 'pid': 4436, 'username': None, 'vms': 2.3359375}
{'name': 'svchost.exe', 'pid': 4576, 'username': None, 'vms': 2.328125}
{'name': 'svchost.exe', 'pid': 4816, 'username': None, 'vms': 1.30078125}
{'name': 'CompPkgSrv.exe', 'pid': 4840, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.74609375}
{'name': 'svchost.exe', 'pid': 4872, 'username': None, 'vms': 3.5390625}
{'name': 'dasHost.exe', 'pid': 4972, 'username': None, 'vms': 1.25}
{'name': 'chrome.exe', 'pid': 5032, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.29296875}
{'name': 'svchost.exe', 'pid': 5324, 'username': None, 'vms': 1.7734375}
{'name': 'RAVBg64.exe', 'pid': 5344, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.1953125}
{'name': 'svchost.exe', 'pid': 5568, 'username': None, 'vms': 2.23828125}
{'name': 'NVIDIA Share.exe', 'pid': 5576, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 45.2265625}
{'name': 'Skype.exe', 'pid': 5772, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 10.76953125}
