--------------------------------------------------------------------------------
Process Log at Sat Aug  8 23:37:47 2020
--------------------------------------------------------------------------------
{'name': 'AvastSvc.exe', 'username': None, 'pid': 3404, 'vms': 345.27734375}
{'name': 'AvastUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3424, 'vms': 41.12109375}
{'name': 'SearchUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3464, 'vms': 100.74609375}
{'name': 'svchost.exe', 'username': None, 'pid': 3496, 'vms': 5.703125}
{'name': 'sihost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3504, 'vms': 8.33984375}
{'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3536, 'vms': 1.6875}
{'name': 'svchost.exe', 'username': None, 'pid': 3544, 'vms': 1.359375}
{'name': 'svchost.exe', 'username': None, 'pid': 3556, 'vms': 1.6171875}
{'name': 'NVIDIA Share.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3568, 'vms': 23.5703125}
{'name': 'svchost.exe', 'username': None, 'pid': 3604, 'vms': 3.40625}
{'name': 'PresentationFontCache.exe', 'username': None, 'pid': 3612, 'vms': 24.32421875}
{'name': 'ZoomTextHelperService.exe', 'username': None, 'pid': 3636, 'vms': 0.8515625}
{'name': 'SystemSettings.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3740, 'vms': 23.75}
{'name': 'svchost.exe', 'username': None, 'pid': 3776, 'vms': 6.01953125}
{'name': 'svchost.exe', 'username': None, 'pid': 4072, 'vms': 1.890625}
{'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4084, 'vms': 10.2890625}
{'name': 'spoolsv.exe', 'username': None, 'pid': 4252, 'vms': 6.09765625}
{'name': 'AiSquared.Loader.Generic.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4260, 'vms': 38.65234375}
{'name': 'taskhostw.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4288, 'vms': 7.234375}
{'name': 'svchost.exe', 'username': None, 'pid': 4332, 'vms': 2.42578125}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4392, 'vms': 5.7890625}
{'name': 'svchost.exe', 'username': None, 'pid': 4412, 'vms': 11.625}
{'name': 'svchost.exe', 'username': None, 'pid': 4460, 'vms': 2.2734375}
{'name': 'svchost.exe', 'username': None, 'pid': 4468, 'vms': 44.6484375}
{'name': 'svchost.exe', 'username': None, 'pid': 4480, 'vms': 23.7265625}
{'name': 'svchost.exe', 'username': None, 'pid': 4500, 'vms': 2.0078125}
{'name': 'svchost.exe', 'username': None, 'pid': 4564, 'vms': 12.11328125}
{'name': 'mDNSResponder.exe', 'username': None, 'pid': 4632, 'vms': 2.1953125}
{'name': 'svchost.exe', 'username': None, 'pid': 4648, 'vms': 19.08984375}
{'name': 'svchost.exe', 'username': None, 'pid': 4728, 'vms': 2.39453125}
{'name': 'Lavasoft.WCAssistant.WinService.exe', 'username': None, 'pid': 4840, 'vms': 37.78125}
{'name': 'AiSquared.Magnification.Service.exe', 'username': None, 'pid': 4868, 'vms': 2.5546875}
{'name': 'Crypserv.exe', 'username': None, 'pid': 4872, 'vms': 4.296875}
{'name': 'python.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4880, 'vms': 121.65234375}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4912, 'vms': 4.515625}
{'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5000, 'vms': 37.125}
{'name': 'svchost.exe', 'username': None, 'pid': 5012, 'vms': 6.8203125}
{'name': 'AppleMobileDeviceService.exe', 'username': None, 'pid': 5144, 'vms': 3.71875}
{'name': 'Updater.exe', 'username': None, 'pid': 5152, 'vms': 4.9765625}
{'name': 'nvcontainer.exe', 'username': None, 'pid': 5164, 'vms': 16.91796875}
{'name': 'AdminService.exe', 'username': None, 'pid': 5176, 'vms': 21.171875}
{'name': 'armsvc.exe', 'username': None, 'pid': 5192, 'vms': 1.82421875}
{'name': 'python.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5208, 'vms': 46.40234375}
{'name': 'svchost.exe', 'username': None, 'pid': 5320, 'vms': 2.33984375}
{'name': 'DolbyDAX2API.exe', 'username': None, 'pid': 5384, 'vms': 31.1875}
{'name': 'YourPhone.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5492, 'vms': 23.265625}
{'name': 'OneDrive.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5500, 'vms': 14.70703125}
{'name': 'explorer.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5504, 'vms': 98.19140625}
{'name': 'audiodg.exe', 'username': None, 'pid': 5508, 'vms': 15.3203125}
{'name': 'svchost.exe', 'username': None, 'pid': 5536, 'vms': 6.56640625}
{'name': 'NVIDIA Share.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5564, 'vms': 52.9609375}
{'name': 'svchost.exe', 'username': None, 'pid': 5588, 'vms': 2.4140625}
{'name': 'svchost.exe', 'username': None, 'pid': 5632, 'vms': 1.3046875}
{'name': 'unsecapp.exe', 'username': None, 'pid': 5684, 'vms': 1.7421875}
{'name': 'svchost.exe', 'username': None, 'pid': 5792, 'vms': 3.75390625}
{'name': 'dasHost.exe', 'username': None, 'pid': 5864, 'vms': 1.296875}
{'name': 'dllhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5904, 'vms': 3.7109375}
{'name': 'StartMenuExperienceHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6004, 'vms': 30.046875}
{'name': 'nvcontainer.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6012, 'vms': 7.96484375}
{'name': 'svchost.exe', 'username': None, 'pid': 6284, 'vms': 2.59375}
{'name': 'Skype.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6396, 'vms': 9.4921875}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6504, 'vms': 6.70703125}
{'name': 'svchost.exe', 'username': None, 'pid': 6616, 'vms': 2.78515625}
{'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6632, 'vms': 6.515625}
