--------------------------------------------------------------------------------
Process Log at Thu Aug 13 16:18:06 2020
--------------------------------------------------------------------------------
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 2604, 'vms': 2.53515625}
{'create_time': 1597002787.0, 'username': None, 'name': 'svchost.exe', 'pid': 2628, 'vms': 3.21484375}
{'create_time': 1597315548.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'python.exe', 'pid': 2672, 'vms': 17.59375}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 2728, 'vms': 4.6484375}
{'create_time': 1597138785.0, 'username': None, 'name': 'csrss.exe', 'pid': 2808, 'vms': 1.70703125}
{'create_time': 1597314956.0, 'username': None, 'name': 'svchost.exe', 'pid': 2832, 'vms': 2.86328125}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 2856, 'vms': 2.6328125}
{'create_time': 1597002004.0, 'username': None, 'name': 'svchost.exe', 'pid': 2924, 'vms': 5.33984375}
{'create_time': 1597314552.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'pid': 2936, 'vms': 337.51171875}
{'create_time': 1597314318.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'explorer.exe', 'pid': 2948, 'vms': 79.48046875}
{'create_time': 1597002004.0, 'username': None, 'name': 'svchost.exe', 'pid': 3028, 'vms': 2.16015625}
{'create_time': 1597002004.0, 'username': None, 'name': 'svchost.exe', 'pid': 3036, 'vms': 3.38671875}
{'create_time': 1597314399.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'pid': 3116, 'vms': 56.375}
{'create_time': 1597002004.0, 'username': None, 'name': 'svchost.exe', 'pid': 3256, 'vms': 6.9453125}
{'create_time': 1597002006.0, 'username': None, 'name': 'svchost.exe', 'pid': 3276, 'vms': 2.31640625}
{'create_time': 1597314321.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'pid': 3324, 'vms': 16.578125}
{'create_time': 1597314333.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'SecurityHealthSystray.exe', 'pid': 3344, 'vms': 2.1328125}
{'create_time': 1597002005.0, 'username': None, 'name': 'svchost.exe', 'pid': 3348, 'vms': 4.46484375}
{'create_time': 1597002005.0, 'username': None, 'name': 'AvastSvc.exe', 'pid': 3368, 'vms': 274.12890625}
{'create_time': 1597002005.0, 'username': None, 'name': 'svchost.exe', 'pid': 3432, 'vms': 11.22265625}
{'create_time': 1597314321.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'ctfmon.exe', 'pid': 3468, 'vms': 4.1328125}
{'create_time': 1597315485.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'pid': 3492, 'vms': 12.3359375}
{'create_time': 1597314344.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Skype.exe', 'pid': 3600, 'vms': 40.37890625}
{'create_time': 1597002013.0, 'username': None, 'name': 'svchost.exe', 'pid': 3744, 'vms': 7.2734375}
{'create_time': 1597002006.0, 'username': None, 'name': 'spoolsv.exe', 'pid': 3764, 'vms': 5.93359375}
{'create_time': 1597002006.0, 'username': None, 'name': 'svchost.exe', 'pid': 3796, 'vms': 12.02734375}
{'create_time': 1597314329.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'NVIDIA Share.exe', 'pid': 3896, 'vms': 20.90625}
{'create_time': 1597002006.0, 'username': None, 'name': 'svchost.exe', 'pid': 3912, 'vms': 2.09375}
{'create_time': 1597078370.0, 'username': None, 'name': 'armsvc.exe', 'pid': 3924, 'vms': 1.984375}
{'create_time': 1597314326.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'YourPhoneServer.exe', 'pid': 4052, 'vms': 7.734375}
{'create_time': 1597314336.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'OneDrive.exe', 'pid': 4060, 'vms': 14.6328125}
{'create_time': 1597314334.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RAVBg64.exe', 'pid': 4084, 'vms': 6.65234375}
{'create_time': 1597002006.0, 'username': None, 'name': 'mDNSResponder.exe', 'pid': 4128, 'vms': 2.31640625}
{'create_time': 1597002006.0, 'username': None, 'name': 'AdminService.exe', 'pid': 4136, 'vms': 12.5625}
{'create_time': 1597002006.0, 'username': None, 'name': 'AiSquared.Magnification.Service.exe', 'pid': 4144, 'vms': 2.79296875}
{'create_time': 1597002006.0, 'username': None, 'name': 'Crypserv.exe', 'pid': 4152, 'vms': 3.2265625}
{'create_time': 1597002006.0, 'username': None, 'name': 'svchost.exe', 'pid': 4160, 'vms': 21.44140625}
{'create_time': 1597002006.0, 'username': None, 'name': 'svchost.exe', 'pid': 4176, 'vms': 31.4296875}
{'create_time': 1597002006.0, 'username': None, 'name': 'svchost.exe', 'pid': 4184, 'vms': 6.82421875}
{'create_time': 1597002006.0, 'username': None, 'name': 'svchost.exe', 'pid': 4208, 'vms': 1.5859375}
{'create_time': 1597002006.0, 'username': None, 'name': 'svchost.exe', 'pid': 4216, 'vms': 5.65625}
{'create_time': 1597002006.0, 'username': None, 'name': 'svchost.exe', 'pid': 4228, 'vms': 2.23046875}
{'create_time': 1597314731.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'powershell.exe', 'pid': 4240, 'vms': 64.3671875}
{'create_time': 1597002006.0, 'username': None, 'name': 'ZoomTextHelperService.exe', 'pid': 4244, 'vms': 0.859375}
{'create_time': 1597314345.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Skype.exe', 'pid': 4256, 'vms': 119.52734375}
{'create_time': 1597002006.0, 'username': None, 'name': 'svchost.exe', 'pid': 4260, 'vms': 2.08984375}
{'create_time': 1597002006.0, 'username': None, 'name': 'svchost.exe', 'pid': 4268, 'vms': 1.328125}
{'create_time': 1597002006.0, 'username': None, 'name': 'svchost.exe', 'pid': 4276, 'vms': 5.5859375}
{'create_time': 1597002006.0, 'username': None, 'name': 'Lavasoft.WCAssistant.WinService.exe', 'pid': 4284, 'vms': 37.15625}
{'create_time': 1597002006.0, 'username': None, 'name': 'Updater.exe', 'pid': 4292, 'vms': 5.25}
{'create_time': 1597002006.0, 'username': None, 'name': 'AppleMobileDeviceService.exe', 'pid': 4300, 'vms': 3.5546875}
{'create_time': 1597002006.0, 'username': None, 'name': 'nvcontainer.exe', 'pid': 4312, 'vms': 15.58984375}
{'create_time': 1597002006.0, 'username': None, 'name': 'OfficeClickToRun.exe', 'pid': 4364, 'vms': 37.09765625}
{'create_time': 1597002352.0, 'username': None, 'name': 'svchost.exe', 'pid': 4416, 'vms': 5.171875}
{'create_time': 1597002006.0, 'username': None, 'name': 'svchost.exe', 'pid': 4436, 'vms': 2.3984375}
{'create_time': 1597002006.0, 'username': None, 'name': 'svchost.exe', 'pid': 4576, 'vms': 2.34765625}
{'create_time': 1597314738.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'python.exe', 'pid': 4592, 'vms': 97.46875}
{'create_time': 1597002006.0, 'username': None, 'name': 'svchost.exe', 'pid': 4816, 'vms': 1.30078125}
{'create_time': 1597002006.0, 'username': None, 'name': 'svchost.exe', 'pid': 4872, 'vms': 3.73828125}
{'create_time': 1597002006.0, 'username': None, 'name': 'dasHost.exe', 'pid': 4972, 'vms': 1.25}
{'create_time': 1597313219.0, 'username': None, 'name': 'winlogon.exe', 'pid': 5196, 'vms': 2.68359375}
{'create_time': 1597002010.0, 'username': None, 'name': 'svchost.exe', 'pid': 5324, 'vms': 1.80078125}
{'create_time': 1597314317.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'svchost.exe', 'pid': 5352, 'vms': 1.83984375}
{'create_time': 1597314324.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'pid': 5524, 'vms': 6.48046875}
{'create_time': 1597002007.0, 'username': None, 'name': 'svchost.exe', 'pid': 5568, 'vms': 2.36328125}
{'create_time': 1597312482.0, 'username': None, 'name': 'svchost.exe', 'pid': 5644, 'vms': 1.5546875}
{'create_time': 1597314399.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'pid': 5696, 'vms': 22.24609375}
{'create_time': 1597315428.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'AcerRegistrationBackGroundTask.exe', 'pid': 5832, 'vms': 38.53125}
{'create_time': 1597314732.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'conhost.exe', 'pid': 5856, 'vms': 6.50390625}
{'create_time': 1597002007.0, 'username': None, 'name': 'svchost.exe', 'pid': 5888, 'vms': 2.3984375}
{'create_time': 1597314399.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'pid': 5916, 'vms': 18.296875}
{'create_time': 1597002010.0, 'username': None, 'name': 'aswEngSrv.exe', 'pid': 6248, 'vms': 86.54296875}
