--------------------------------------------------------------------------------
Process Log at Mon Aug 10 13:37:44 2020
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'username': None, 'pid': 2728, 'vms': 2.88671875}
{'name': 'svchost.exe', 'username': None, 'pid': 2856, 'vms': 2.4140625}
{'name': 'svchost.exe', 'username': None, 'pid': 2924, 'vms': 3.26953125}
{'name': 'svchost.exe', 'username': None, 'pid': 3028, 'vms': 1.8828125}
{'name': 'svchost.exe', 'username': None, 'pid': 3036, 'vms': 2.7578125}
{'name': 'svchost.exe', 'username': None, 'pid': 3164, 'vms': 2.3359375}
{'name': 'svchost.exe', 'username': None, 'pid': 3252, 'vms': 4.90234375}
{'name': 'svchost.exe', 'username': None, 'pid': 3256, 'vms': 6.296875}
{'name': 'svchost.exe', 'username': None, 'pid': 3276, 'vms': 2.25}
{'name': 'svchost.exe', 'username': None, 'pid': 3348, 'vms': 2.9609375}
{'name': 'AvastSvc.exe', 'username': None, 'pid': 3368, 'vms': 171.875}
{'name': 'svchost.exe', 'username': None, 'pid': 3432, 'vms': 9.2421875}
{'name': 'svchost.exe', 'username': None, 'pid': 3744, 'vms': 6.03515625}
{'name': 'spoolsv.exe', 'username': None, 'pid': 3764, 'vms': 5.17578125}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3788, 'vms': 34.90625}
{'name': 'svchost.exe', 'username': None, 'pid': 3796, 'vms': 11.796875}
{'name': 'dwm.exe', 'username': None, 'pid': 3844, 'vms': 80.1015625}
{'name': 'python.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3860, 'vms': 271.4453125}
{'name': 'svchost.exe', 'username': None, 'pid': 3912, 'vms': 1.9453125}
{'name': 'NVIDIA Share.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4076, 'vms': 20.46484375}
{'name': 'mDNSResponder.exe', 'username': None, 'pid': 4128, 'vms': 1.9375}
{'name': 'AdminService.exe', 'username': None, 'pid': 4136, 'vms': 3.9921875}
{'name': 'AiSquared.Magnification.Service.exe', 'username': None, 'pid': 4144, 'vms': 2.82421875}
{'name': 'Crypserv.exe', 'username': None, 'pid': 4152, 'vms': 3.2265625}
{'name': 'svchost.exe', 'username': None, 'pid': 4160, 'vms': 18.56640625}
{'name': 'svchost.exe', 'username': None, 'pid': 4176, 'vms': 30.29296875}
{'name': 'svchost.exe', 'username': None, 'pid': 4184, 'vms': 5.4375}
{'name': 'svchost.exe', 'username': None, 'pid': 4208, 'vms': 1.5859375}
{'name': 'svchost.exe', 'username': None, 'pid': 4216, 'vms': 5.1015625}
{'name': 'svchost.exe', 'username': None, 'pid': 4228, 'vms': 1.5078125}
{'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4240, 'vms': 1.84375}
{'name': 'ZoomTextHelperService.exe', 'username': None, 'pid': 4244, 'vms': 0.859375}
{'name': 'armsvc.exe', 'username': None, 'pid': 4252, 'vms': 1.82421875}
{'name': 'svchost.exe', 'username': None, 'pid': 4260, 'vms': 1.953125}
{'name': 'svchost.exe', 'username': None, 'pid': 4268, 'vms': 1.25390625}
{'name': 'svchost.exe', 'username': None, 'pid': 4276, 'vms': 5.04296875}
{'name': 'Lavasoft.WCAssistant.WinService.exe', 'username': None, 'pid': 4284, 'vms': 36.875}
{'name': 'Updater.exe', 'username': None, 'pid': 4292, 'vms': 4.77734375}
{'name': 'AppleMobileDeviceService.exe', 'username': None, 'pid': 4300, 'vms': 3.40625}
{'name': 'nvcontainer.exe', 'username': None, 'pid': 4312, 'vms': 13.95703125}
{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 4364, 'vms': 34.47265625}
{'name': 'svchost.exe', 'username': None, 'pid': 4416, 'vms': 5.66015625}
{'name': 'svchost.exe', 'username': None, 'pid': 4436, 'vms': 2.3359375}
{'name': 'svchost.exe', 'username': None, 'pid': 4576, 'vms': 2.34765625}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4668, 'vms': 3.16015625}
{'name': 'svchost.exe', 'username': None, 'pid': 4816, 'vms': 1.30078125}
{'name': 'CompPkgSrv.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4840, 'vms': 1.74609375}
{'name': 'backgroundTaskHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4856, 'vms': 8.4296875}
{'name': 'svchost.exe', 'username': None, 'pid': 4872, 'vms': 3.671875}
{'name': 'dasHost.exe', 'username': None, 'pid': 4972, 'vms': 1.25}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5032, 'vms': 2.29296875}
{'name': 'svchost.exe', 'username': None, 'pid': 5176, 'vms': 3.5390625}
{'name': 'svchost.exe', 'username': None, 'pid': 5324, 'vms': 1.7734375}
{'name': 'RAVBg64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5344, 'vms': 6.1953125}
{'name': 'svchost.exe', 'username': None, 'pid': 5568, 'vms': 2.23828125}
{'name': 'NVIDIA Share.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5576, 'vms': 45.26171875}
{'name': 'Skype.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5772, 'vms': 10.76953125}
{'name': 'jusched.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5800, 'vms': 1.79296875}
{'name': 'ctfmon.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5820, 'vms': 3.9609375}
{'name': 'svchost.exe', 'username': None, 'pid': 5888, 'vms': 2.15625}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5924, 'vms': 64.640625}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5988, 'vms': 370.4765625}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6140, 'vms': 6.671875}
{'name': 'aswEngSrv.exe', 'username': None, 'pid': 6248, 'vms': 73.34375}
{'name': 'YourPhoneServer.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6424, 'vms': 7.8046875}
{'name': 'Microsoft.Photos.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6444, 'vms': 49.42578125}
{'name': 'SearchFilterHost.exe', 'username': None, 'pid': 6616, 'vms': 1.5234375}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 6700, 'vms': 46.640625}
{'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7060, 'vms': 44.30078125}
{'name': 'svchost.exe', 'username': None, 'pid': 7072, 'vms': 2.82421875}
{'name': 'AvastUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7132, 'vms': 15.77734375}
{'name': 'CodeHelper.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7240, 'vms': 11.1015625}
{'name': 'svchost.exe', 'username': None, 'pid': 7256, 'vms': 3.85546875}
{'name': 'svchost.exe', 'username': None, 'pid': 7360, 'vms': 1.7890625}
{'name': 'python.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7464, 'vms': 97.24609375}
{'name': 'AvastUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7476, 'vms': 42.02734375}
{'name': 'aswidsagent.exe', 'username': None, 'pid': 7648, 'vms': 34.34765625}
{'name': 'AiSquared.Loader.Elevated.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7920, 'vms': 31.96875}
{'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7996, 'vms': 221.09765625}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8044, 'vms': 21.55078125}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8140, 'vms': 200.52734375}
{'name': 'svchost.exe', 'username': None, 'pid': 8168, 'vms': 4.17578125}
{'name': 'WinStore.App.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8284, 'vms': 46.37109375}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8296, 'vms': 4.9921875}
{'name': 'winlogon.exe', 'username': None, 'pid': 8496, 'vms': 2.7421875}
{'name': 'ZtUac64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8624, 'vms': 1.515625}
{'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8760, 'vms': 6.4765625}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 8836, 'vms': 4.08203125}
{'name': 'OneDrive.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8840, 'vms': 14.74609375}
{'name': 'AiSquared.Loader.Elevated.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8928, 'vms': 14.5625}
{'name': 'backgroundTaskHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9104, 'vms': 15.0546875}
{'name': 'svchost.exe', 'username': None, 'pid': 9260, 'vms': 1.9375}
{'name': 'dllhost.exe', 'username': None, 'pid': 9320, 'vms': 3.09765625}
{'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9452, 'vms': 11.0625}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9576, 'vms': 35.81640625}
