--------------------------------------------------------------------------------
Process Log at Mon Aug 10 13:50:08 2020
--------------------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 2728, 'username': None, 'name': 'svchost.exe', 'vms': 2.84375}
{'pid': 2856, 'username': None, 'name': 'svchost.exe', 'vms': 2.4140625}
{'pid': 2924, 'username': None, 'name': 'svchost.exe', 'vms': 3.3671875}
{'pid': 3028, 'username': None, 'name': 'svchost.exe', 'vms': 1.80078125}
{'pid': 3036, 'username': None, 'name': 'svchost.exe', 'vms': 2.9140625}
{'pid': 3164, 'username': None, 'name': 'svchost.exe', 'vms': 2.09765625}
{'pid': 3252, 'username': None, 'name': 'svchost.exe', 'vms': 5.14453125}
{'pid': 3256, 'username': None, 'name': 'svchost.exe', 'vms': 6.3515625}
{'pid': 3276, 'username': None, 'name': 'svchost.exe', 'vms': 2.3125}
{'pid': 3348, 'username': None, 'name': 'svchost.exe', 'vms': 2.9609375}
{'pid': 3368, 'username': None, 'name': 'AvastSvc.exe', 'vms': 171.1484375}
{'pid': 3432, 'username': None, 'name': 'svchost.exe', 'vms': 9.17578125}
{'pid': 3744, 'username': None, 'name': 'svchost.exe', 'vms': 6.03515625}
{'pid': 3764, 'username': None, 'name': 'spoolsv.exe', 'vms': 5.17578125}
{'pid': 3788, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 34.90625}
{'pid': 3796, 'username': None, 'name': 'svchost.exe', 'vms': 11.65625}
{'pid': 3844, 'username': None, 'name': 'dwm.exe', 'vms': 80.19921875}
{'pid': 3912, 'username': None, 'name': 'svchost.exe', 'vms': 2.015625}
{'pid': 4076, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'NVIDIA Share.exe', 'vms': 20.49609375}
{'pid': 4128, 'username': None, 'name': 'mDNSResponder.exe', 'vms': 1.9375}
{'pid': 4136, 'username': None, 'name': 'AdminService.exe', 'vms': 3.9921875}
{'pid': 4144, 'username': None, 'name': 'AiSquared.Magnification.Service.exe', 'vms': 2.8359375}
{'pid': 4152, 'username': None, 'name': 'Crypserv.exe', 'vms': 3.2265625}
{'pid': 4160, 'username': None, 'name': 'svchost.exe', 'vms': 18.6875}
{'pid': 4176, 'username': None, 'name': 'svchost.exe', 'vms': 32.40625}
{'pid': 4184, 'username': None, 'name': 'svchost.exe', 'vms': 5.94921875}
{'pid': 4208, 'username': None, 'name': 'svchost.exe', 'vms': 1.5859375}
{'pid': 4216, 'username': None, 'name': 'svchost.exe', 'vms': 5.046875}
{'pid': 4228, 'username': None, 'name': 'svchost.exe', 'vms': 1.5078125}
{'pid': 4240, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'svchost.exe', 'vms': 1.84375}
{'pid': 4244, 'username': None, 'name': 'ZoomTextHelperService.exe', 'vms': 0.859375}
{'pid': 4252, 'username': None, 'name': 'armsvc.exe', 'vms': 1.82421875}
{'pid': 4260, 'username': None, 'name': 'svchost.exe', 'vms': 1.953125}
{'pid': 4268, 'username': None, 'name': 'svchost.exe', 'vms': 1.25390625}
{'pid': 4276, 'username': None, 'name': 'svchost.exe', 'vms': 5.04296875}
{'pid': 4284, 'username': None, 'name': 'Lavasoft.WCAssistant.WinService.exe', 'vms': 36.875}
{'pid': 4292, 'username': None, 'name': 'Updater.exe', 'vms': 4.77734375}
{'pid': 4300, 'username': None, 'name': 'AppleMobileDeviceService.exe', 'vms': 3.40625}
{'pid': 4312, 'username': None, 'name': 'nvcontainer.exe', 'vms': 13.95703125}
{'pid': 4364, 'username': None, 'name': 'OfficeClickToRun.exe', 'vms': 34.5546875}
{'pid': 4416, 'username': None, 'name': 'svchost.exe', 'vms': 5.66015625}
{'pid': 4436, 'username': None, 'name': 'svchost.exe', 'vms': 2.3359375}
{'pid': 4576, 'username': None, 'name': 'svchost.exe', 'vms': 2.35546875}
{'pid': 4816, 'username': None, 'name': 'svchost.exe', 'vms': 1.30078125}
{'pid': 4840, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'CompPkgSrv.exe', 'vms': 1.74609375}
{'pid': 4872, 'username': None, 'name': 'svchost.exe', 'vms': 3.5703125}
{'pid': 4972, 'username': None, 'name': 'dasHost.exe', 'vms': 1.25}
{'pid': 5032, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 2.29296875}
{'pid': 5324, 'username': None, 'name': 'svchost.exe', 'vms': 1.7734375}
{'pid': 5344, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RAVBg64.exe', 'vms': 6.1953125}
{'pid': 5568, 'username': None, 'name': 'svchost.exe', 'vms': 2.23828125}
{'pid': 5576, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'NVIDIA Share.exe', 'vms': 45.26171875}
{'pid': 5772, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Skype.exe', 'vms': 10.76953125}
{'pid': 5800, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'jusched.exe', 'vms': 1.79296875}
