--------------------------------------------------------------------------------
Process Log at Mon Aug 10 12:42:02 2020
--------------------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.19921875}
{'pid': 88, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'vms': 12.26171875}
{'pid': 120, 'username': None, 'name': 'Registry', 'vms': 9.765625}
{'pid': 148, 'username': None, 'name': 'svchost.exe', 'vms': 10.85546875}
{'pid': 256, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'python.exe', 'vms': 17.1015625}
{'pid': 388, 'username': None, 'name': 'svchost.exe', 'vms': 0.93359375}
{'pid': 468, 'username': None, 'name': 'smss.exe', 'vms': 1.1640625}
{'pid': 512, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'python.exe', 'vms': 115.76953125}
{'pid': 532, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'conhost.exe', 'vms': 6.51953125}
{'pid': 560, 'username': None, 'name': 'svchost.exe', 'vms': 14.30859375}
{'pid': 684, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 19.71484375}
{'pid': 692, 'username': None, 'name': 'csrss.exe', 'vms': 2.3203125}
{'pid': 700, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'nvsphelper64.exe', 'vms': 3.2421875}
{'pid': 716, 'username': None, 'name': 'csrss.exe', 'vms': 2.47265625}
{'pid': 792, 'username': None, 'name': 'wininit.exe', 'vms': 1.59375}
{'pid': 864, 'username': None, 'name': 'services.exe', 'vms': 5.55078125}
{'pid': 880, 'username': None, 'name': 'lsass.exe', 'vms': 7.60546875}
{'pid': 952, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.57421875}
{'pid': 1012, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'YourPhone.exe', 'vms': 25.69140625}
{'pid': 1080, 'username': None, 'name': 'svchost.exe', 'vms': 9.3359375}
{'pid': 1128, 'username': None, 'name': 'svchost.exe', 'vms': 2.796875}
{'pid': 1144, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'vms': 45.3203125}
{'pid': 1220, 'username': None, 'name': 'PresentationFontCache.exe', 'vms': 24.71484375}
{'pid': 1344, 'username': None, 'name': 'svchost.exe', 'vms': 2.61328125}
{'pid': 1384, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 42.60546875}
{'pid': 1400, 'username': None, 'name': 'svchost.exe', 'vms': 2.15625}
{'pid': 1440, 'username': None, 'name': 'svchost.exe', 'vms': 1.5390625}
{'pid': 1508, 'username': None, 'name': 'svchost.exe', 'vms': 2.6015625}
{'pid': 1544, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'vms': 5.44140625}
{'pid': 1576, 'username': None, 'name': 'svchost.exe', 'vms': 6.703125}
{'pid': 1612, 'username': None, 'name': 'svchost.exe', 'vms': 3.15234375}
{'pid': 1636, 'username': None, 'name': 'svchost.exe', 'vms': 2.1015625}
{'pid': 1640, 'username': None, 'name': 'svchost.exe', 'vms': 1.55078125}
{'pid': 1656, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Skype.exe', 'vms': 9.5078125}
{'pid': 1756, 'username': None, 'name': 'svchost.exe', 'vms': 16.1796875}
{'pid': 1796, 'username': None, 'name': 'svchost.exe', 'vms': 1.2890625}
{'pid': 1800, 'username': None, 'name': 'svchost.exe', 'vms': 8.25390625}
{'pid': 1864, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Skype.exe', 'vms': 38.96484375}
{'pid': 1896, 'username': None, 'name': 'svchost.exe', 'vms': 2.8671875}
{'pid': 1976, 'username': None, 'name': 'NVDisplay.Container.exe', 'vms': 5.84765625}
{'pid': 2024, 'username': None, 'name': 'svchost.exe', 'vms': 5.24609375}
{'pid': 2040, 'username': None, 'name': 'svchost.exe', 'vms': 1.75390625}
{'pid': 2052, 'username': None, 'name': 'svchost.exe', 'vms': 1.98828125}
{'pid': 2060, 'username': None, 'name': 'wsc_proxy.exe', 'vms': 4.12890625}
{'pid': 2084, 'username': None, 'name': 'svchost.exe', 'vms': 2.42578125}
{'pid': 2120, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'DolbyDAX2TrayIcon.exe', 'vms': 3.9765625}
{'pid': 2288, 'username': None, 'name': 'Memory Compression', 'vms': 0.1015625}
{'pid': 2336, 'username': None, 'name': 'svchost.exe', 'vms': 1.984375}
{'pid': 2344, 'username': None, 'name': 'svchost.exe', 'vms': 2.44140625}
{'pid': 2380, 'username': None, 'name': 'svchost.exe', 'vms': 4.41796875}
{'pid': 2424, 'username': None, 'name': 'igfxCUIService.exe', 'vms': 1.96875}
{'pid': 2456, 'username': None, 'name': 'svchost.exe', 'vms': 1.51953125}
{'pid': 2496, 'username': None, 'name': 'svchost.exe', 'vms': 4.28515625}
{'pid': 2524, 'username': None, 'name': 'svchost.exe', 'vms': 2.765625}
{'pid': 2552, 'username': None, 'name': 'svchost.exe', 'vms': 3.21875}
{'pid': 2560, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'vms': 10.45703125}
{'pid': 2596, 'username': None, 'name': 'svchost.exe', 'vms': 1.96875}
{'pid': 2604, 'username': None, 'name': 'svchost.exe', 'vms': 1.97265625}
{'pid': 2628, 'username': None, 'name': 'svchost.exe', 'vms': 2.96484375}
{'pid': 2648, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Skype.exe', 'vms': 119.74609375}
{'pid': 2668, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'SearchUI.exe', 'vms': 92.78125}
{'pid': 2692, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 207.203125}
{'pid': 2728, 'username': None, 'name': 'svchost.exe', 'vms': 2.83984375}
{'pid': 2856, 'username': None, 'name': 'svchost.exe', 'vms': 2.46484375}
{'pid': 2924, 'username': None, 'name': 'svchost.exe', 'vms': 3.50390625}
{'pid': 3028, 'username': None, 'name': 'svchost.exe', 'vms': 1.84765625}
{'pid': 3036, 'username': None, 'name': 'svchost.exe', 'vms': 2.79296875}
{'pid': 3164, 'username': None, 'name': 'svchost.exe', 'vms': 2.2109375}
{'pid': 3252, 'username': None, 'name': 'svchost.exe', 'vms': 4.83984375}
{'pid': 3256, 'username': None, 'name': 'svchost.exe', 'vms': 6.37890625}
{'pid': 3276, 'username': None, 'name': 'svchost.exe', 'vms': 2.06640625}
{'pid': 3348, 'username': None, 'name': 'svchost.exe', 'vms': 2.91015625}
{'pid': 3368, 'username': None, 'name': 'AvastSvc.exe', 'vms': 167.29296875}
{'pid': 3432, 'username': None, 'name': 'svchost.exe', 'vms': 8.93359375}
{'pid': 3744, 'username': None, 'name': 'svchost.exe', 'vms': 6.09375}
{'pid': 3764, 'username': None, 'name': 'spoolsv.exe', 'vms': 5.17578125}
{'pid': 3788, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 23.625}
{'pid': 3796, 'username': None, 'name': 'svchost.exe', 'vms': 11.6796875}
{'pid': 3844, 'username': None, 'name': 'dwm.exe', 'vms': 76.79296875}
{'pid': 3912, 'username': None, 'name': 'svchost.exe', 'vms': 2.03125}
{'pid': 4076, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'NVIDIA Share.exe', 'vms': 21.421875}
{'pid': 4108, 'username': None, 'name': 'SearchFilterHost.exe', 'vms': 1.515625}
{'pid': 4128, 'username': None, 'name': 'mDNSResponder.exe', 'vms': 1.9375}
{'pid': 4136, 'username': None, 'name': 'AdminService.exe', 'vms': 3.9921875}
{'pid': 4144, 'username': None, 'name': 'AiSquared.Magnification.Service.exe', 'vms': 2.828125}
{'pid': 4152, 'username': None, 'name': 'Crypserv.exe', 'vms': 3.2265625}
{'pid': 4160, 'username': None, 'name': 'svchost.exe', 'vms': 18.16015625}
{'pid': 4176, 'username': None, 'name': 'svchost.exe', 'vms': 21.0078125}
{'pid': 4184, 'username': None, 'name': 'svchost.exe', 'vms': 5.87109375}
{'pid': 4208, 'username': None, 'name': 'svchost.exe', 'vms': 1.5859375}
{'pid': 4216, 'username': None, 'name': 'svchost.exe', 'vms': 5.0859375}
{'pid': 4228, 'username': None, 'name': 'svchost.exe', 'vms': 1.5078125}
{'pid': 4240, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'svchost.exe', 'vms': 1.83984375}
{'pid': 4244, 'username': None, 'name': 'ZoomTextHelperService.exe', 'vms': 0.859375}
{'pid': 4252, 'username': None, 'name': 'armsvc.exe', 'vms': 1.82421875}
{'pid': 4260, 'username': None, 'name': 'svchost.exe', 'vms': 1.921875}
{'pid': 4268, 'username': None, 'name': 'svchost.exe', 'vms': 1.25390625}
{'pid': 4276, 'username': None, 'name': 'svchost.exe', 'vms': 5.02734375}
{'pid': 4284, 'username': None, 'name': 'Lavasoft.WCAssistant.WinService.exe', 'vms': 36.875}
{'pid': 4292, 'username': None, 'name': 'Updater.exe', 'vms': 4.77734375}
{'pid': 4300, 'username': None, 'name': 'AppleMobileDeviceService.exe', 'vms': 3.40625}
{'pid': 4312, 'username': None, 'name': 'nvcontainer.exe', 'vms': 13.81640625}
{'pid': 4364, 'username': None, 'name': 'OfficeClickToRun.exe', 'vms': 34.35546875}
{'pid': 4416, 'username': None, 'name': 'svchost.exe', 'vms': 5.74609375}
{'pid': 4436, 'username': None, 'name': 'svchost.exe', 'vms': 2.3359375}
{'pid': 4576, 'username': None, 'name': 'svchost.exe', 'vms': 2.33203125}
{'pid': 4816, 'username': None, 'name': 'svchost.exe', 'vms': 1.30078125}
{'pid': 4872, 'username': None, 'name': 'svchost.exe', 'vms': 3.5234375}
{'pid': 4936, 'username': None, 'name': 'SearchProtocolHost.exe', 'vms': 2.4921875}
{'pid': 4972, 'username': None, 'name': 'dasHost.exe', 'vms': 1.25}
{'pid': 5032, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 2.29296875}
{'pid': 5324, 'username': None, 'name': 'svchost.exe', 'vms': 1.75}
{'pid': 5344, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RAVBg64.exe', 'vms': 6.2421875}
{'pid': 5568, 'username': None, 'name': 'svchost.exe', 'vms': 2.22265625}
{'pid': 5576, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'NVIDIA Share.exe', 'vms': 44.98828125}
{'pid': 5772, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Skype.exe', 'vms': 10.84375}
{'pid': 5800, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'jusched.exe', 'vms': 1.79296875}
{'pid': 5820, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'ctfmon.exe', 'vms': 3.9296875}
{'pid': 5888, 'username': None, 'name': 'svchost.exe', 'vms': 2.25390625}
{'pid': 5924, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 65.6015625}
{'pid': 5988, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 284.61328125}
{'pid': 6140, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'vms': 6.73828125}
{'pid': 6248, 'username': None, 'name': 'aswEngSrv.exe', 'vms': 71.234375}
{'pid': 6424, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'YourPhoneServer.exe', 'vms': 7.796875}
{'pid': 6700, 'username': None, 'name': 'SearchIndexer.exe', 'vms': 42.10546875}
{'pid': 7060, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'vms': 45.53125}
{'pid': 7072, 'username': None, 'name': 'svchost.exe', 'vms': 2.85546875}
{'pid': 7132, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'AvastUI.exe', 'vms': 15.77734375}
{'pid': 7196, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'conhost.exe', 'vms': 6.48046875}
{'pid': 7240, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'CodeHelper.exe', 'vms': 10.8359375}
{'pid': 7256, 'username': None, 'name': 'svchost.exe', 'vms': 3.859375}
{'pid': 7360, 'username': None, 'name': 'svchost.exe', 'vms': 1.7890625}
{'pid': 7424, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 43.02734375}
{'pid': 7476, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'AvastUI.exe', 'vms': 41.15234375}
{'pid': 7648, 'username': None, 'name': 'aswidsagent.exe', 'vms': 33.06640625}
{'pid': 7920, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'AiSquared.Loader.Elevated.exe', 'vms': 31.96875}
{'pid': 7996, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'vms': 337.23046875}
{'pid': 8044, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 20.3359375}
{'pid': 8140, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 184.2265625}
{'pid': 8168, 'username': None, 'name': 'svchost.exe', 'vms': 4.13671875}
{'pid': 8236, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 56.1171875}
{'pid': 8284, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'WinStore.App.exe', 'vms': 46.37109375}
