--------------------------------------------------------------------------------
Process Log at Thu Aug 13 16:57:18 2020
--------------------------------------------------------------------------------
{'pid': 2524, 'name': 'svchost.exe', 'create_time': 1597002003.0, 'username': None, 'vms': 2.8515625}
{'pid': 2552, 'name': 'svchost.exe', 'create_time': 1597002003.0, 'username': None, 'vms': 3.58984375}
{'pid': 2596, 'name': 'svchost.exe', 'create_time': 1597002003.0, 'username': None, 'vms': 1.98046875}
{'pid': 2604, 'name': 'svchost.exe', 'create_time': 1597002003.0, 'username': None, 'vms': 2.328125}
{'pid': 2628, 'name': 'svchost.exe', 'create_time': 1597002787.0, 'username': None, 'vms': 3.11328125}
{'pid': 2672, 'name': 'python.exe', 'create_time': 1597315548.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 17.5390625}
{'pid': 2728, 'name': 'svchost.exe', 'create_time': 1597002003.0, 'username': None, 'vms': 3.4375}
{'pid': 2792, 'name': 'chrome.exe', 'create_time': 1597317919.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 56.19921875}
{'pid': 2808, 'name': 'csrss.exe', 'create_time': 1597138785.0, 'username': None, 'vms': 1.65625}
{'pid': 2832, 'name': 'svchost.exe', 'create_time': 1597314956.0, 'username': None, 'vms': 2.82421875}
{'pid': 2856, 'name': 'svchost.exe', 'create_time': 1597002003.0, 'username': None, 'vms': 2.51953125}
{'pid': 2924, 'name': 'svchost.exe', 'create_time': 1597002004.0, 'username': None, 'vms': 4.68359375}
{'pid': 2936, 'name': 'Code.exe', 'create_time': 1597314552.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 295.98828125}
{'pid': 2948, 'name': 'explorer.exe', 'create_time': 1597314318.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 74.765625}
{'pid': 3028, 'name': 'svchost.exe', 'create_time': 1597002004.0, 'username': None, 'vms': 1.83203125}
{'pid': 3036, 'name': 'svchost.exe', 'create_time': 1597002004.0, 'username': None, 'vms': 2.81640625}
{'pid': 3116, 'name': 'chrome.exe', 'create_time': 1597314399.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 62.25}
{'pid': 3256, 'name': 'svchost.exe', 'create_time': 1597002004.0, 'username': None, 'vms': 6.73046875}
{'pid': 3276, 'name': 'svchost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 2.265625}
{'pid': 3324, 'name': 'RuntimeBroker.exe', 'create_time': 1597314321.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 16.34765625}
{'pid': 3344, 'name': 'SecurityHealthSystray.exe', 'create_time': 1597314333.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.0703125}
{'pid': 3348, 'name': 'svchost.exe', 'create_time': 1597002005.0, 'username': None, 'vms': 4.2578125}
{'pid': 3368, 'name': 'AvastSvc.exe', 'create_time': 1597002005.0, 'username': None, 'vms': 269.56640625}
{'pid': 3432, 'name': 'svchost.exe', 'create_time': 1597002005.0, 'username': None, 'vms': 10.28125}
