--------------------------------------------------------------------------------
Process Log at Sat Aug  8 23:30:35 2020
--------------------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.19921875}
{'pid': 84, 'name': 'svchost.exe', 'username': None, 'vms': 27.3125}
{'pid': 120, 'name': 'Registry', 'username': None, 'vms': 11.25390625}
{'pid': 264, 'name': 'jusched.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.79296875}
{'pid': 424, 'name': 'smss.exe', 'username': None, 'vms': 1.15234375}
{'pid': 468, 'name': 'fontdrvhost.exe', 'username': None, 'vms': 1.63671875}
{'pid': 472, 'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 12.1875}
{'pid': 568, 'name': 'svchost.exe', 'username': None, 'vms': 1.90625}
{'pid': 648, 'name': 'ctfmon.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.171875}
{'pid': 656, 'name': 'csrss.exe', 'username': None, 'vms': 2.08984375}
{'pid': 768, 'name': 'wininit.exe', 'username': None, 'vms': 1.78515625}
{'pid': 808, 'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 204.39453125}
{'pid': 840, 'name': 'services.exe', 'username': None, 'vms': 6.37890625}
{'pid': 852, 'name': 'lsass.exe', 'username': None, 'vms': 12.72265625}
{'pid': 984, 'name': 'svchost.exe', 'username': None, 'vms': 0.953125}
{'pid': 1048, 'name': 'svchost.exe', 'username': None, 'vms': 13.23046875}
{'pid': 1096, 'name': 'svchost.exe', 'username': None, 'vms': 3.91015625}
{'pid': 1260, 'name': 'NVDisplay.Container.exe', 'username': None, 'vms': 9.62890625}
