--------------------------------------------------------------------------------
Process Log at Sat Aug  8 23:23:20 2020
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'pid': 3396, 'username': None, 'vms': 5.34375}
{'name': 'AvastSvc.exe', 'pid': 3404, 'username': None, 'vms': 345.609375}
{'name': 'AvastUI.exe', 'pid': 3424, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 39.65234375}
{'name': 'SearchUI.exe', 'pid': 3464, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 100.74609375}
{'name': 'svchost.exe', 'pid': 3496, 'username': None, 'vms': 5.6875}
{'name': 'sihost.exe', 'pid': 3504, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 8.1328125}
{'name': 'conhost.exe', 'pid': 3536, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.75}
{'name': 'svchost.exe', 'pid': 3544, 'username': None, 'vms': 1.359375}
{'name': 'svchost.exe', 'pid': 3556, 'username': None, 'vms': 1.6171875}
{'name': 'NVIDIA Share.exe', 'pid': 3568, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 23.59765625}
{'name': 'svchost.exe', 'pid': 3604, 'username': None, 'vms': 3.390625}
{'name': 'PresentationFontCache.exe', 'pid': 3612, 'username': None, 'vms': 24.3515625}
{'name': 'ZoomTextHelperService.exe', 'pid': 3636, 'username': None, 'vms': 0.8515625}
{'name': 'SystemSettings.exe', 'pid': 3740, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 23.75}
{'name': 'svchost.exe', 'pid': 3776, 'username': None, 'vms': 5.96875}
{'name': 'conhost.exe', 'pid': 3824, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.48828125}
{'name': 'svchost.exe', 'pid': 4072, 'username': None, 'vms': 1.890625}
{'name': 'Code.exe', 'pid': 4084, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 10.3359375}
{'name': 'spoolsv.exe', 'pid': 4252, 'username': None, 'vms': 6.1484375}
{'name': 'AiSquared.Loader.Generic.exe', 'pid': 4260, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 38.65234375}
{'name': 'taskhostw.exe', 'pid': 4288, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.99609375}
{'name': 'svchost.exe', 'pid': 4332, 'username': None, 'vms': 2.57421875}
{'name': 'RuntimeBroker.exe', 'pid': 4392, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.7890625}
{'name': 'svchost.exe', 'pid': 4412, 'username': None, 'vms': 11.58203125}
{'name': 'svchost.exe', 'pid': 4460, 'username': None, 'vms': 2.2734375}
{'name': 'svchost.exe', 'pid': 4468, 'username': None, 'vms': 44.25390625}
{'name': 'svchost.exe', 'pid': 4480, 'username': None, 'vms': 23.83984375}
{'name': 'svchost.exe', 'pid': 4500, 'username': None, 'vms': 2.05859375}
{'name': 'svchost.exe', 'pid': 4564, 'username': None, 'vms': 11.96484375}
{'name': 'chrome.exe', 'pid': 4568, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 11.8515625}
{'name': 'mDNSResponder.exe', 'pid': 4632, 'username': None, 'vms': 2.22265625}
{'name': 'svchost.exe', 'pid': 4648, 'username': None, 'vms': 19.08984375}
{'name': 'svchost.exe', 'pid': 4728, 'username': None, 'vms': 2.6171875}
{'name': 'Lavasoft.WCAssistant.WinService.exe', 'pid': 4840, 'username': None, 'vms': 37.80859375}
{'name': 'AiSquared.Magnification.Service.exe', 'pid': 4868, 'username': None, 'vms': 2.5546875}
{'name': 'Crypserv.exe', 'pid': 4872, 'username': None, 'vms': 4.36328125}
{'name': 'python.exe', 'pid': 4880, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 124.35546875}
{'name': 'RuntimeBroker.exe', 'pid': 4912, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.69921875}
{'name': 'Code.exe', 'pid': 5000, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 36.8046875}
{'name': 'svchost.exe', 'pid': 5012, 'username': None, 'vms': 6.76953125}
{'name': 'AppleMobileDeviceService.exe', 'pid': 5144, 'username': None, 'vms': 3.74609375}
{'name': 'Updater.exe', 'pid': 5152, 'username': None, 'vms': 5.046875}
{'name': 'nvcontainer.exe', 'pid': 5164, 'username': None, 'vms': 16.9921875}
{'name': 'AdminService.exe', 'pid': 5176, 'username': None, 'vms': 21.1953125}
{'name': 'armsvc.exe', 'pid': 5192, 'username': None, 'vms': 1.89453125}
{'name': 'python.exe', 'pid': 5224, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 65.6796875}
{'name': 'svchost.exe', 'pid': 5320, 'username': None, 'vms': 2.33984375}
{'name': 'DolbyDAX2API.exe', 'pid': 5384, 'username': None, 'vms': 31.1875}
{'name': 'YourPhone.exe', 'pid': 5492, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 23.265625}
{'name': 'OneDrive.exe', 'pid': 5500, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 14.70703125}
{'name': 'explorer.exe', 'pid': 5504, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 93.96875}
{'name': 'svchost.exe', 'pid': 5536, 'username': None, 'vms': 6.62109375}
{'name': 'NVIDIA Share.exe', 'pid': 5564, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 53.03515625}
{'name': 'svchost.exe', 'pid': 5588, 'username': None, 'vms': 2.421875}
{'name': 'svchost.exe', 'pid': 5632, 'username': None, 'vms': 1.3046875}
{'name': 'unsecapp.exe', 'pid': 5684, 'username': None, 'vms': 1.7421875}
{'name': 'svchost.exe', 'pid': 5792, 'username': None, 'vms': 3.75390625}
{'name': 'dasHost.exe', 'pid': 5864, 'username': None, 'vms': 1.328125}
{'name': 'dllhost.exe', 'pid': 5904, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.7109375}
{'name': 'chrome.exe', 'pid': 5980, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 22.9765625}
{'name': 'StartMenuExperienceHost.exe', 'pid': 6004, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 30.03515625}
