--------------------------------------------------------------------------------
Process Log at Sat Aug  8 20:18:30 2020
--------------------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.19921875}
{'pid': 84, 'name': 'svchost.exe', 'username': None, 'vms': 27.72265625}
{'pid': 120, 'name': 'Registry', 'username': None, 'vms': 13.41015625}
{'pid': 264, 'name': 'jusched.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.78125}
{'pid': 424, 'name': 'smss.exe', 'username': None, 'vms': 1.15234375}
{'pid': 468, 'name': 'fontdrvhost.exe', 'username': None, 'vms': 1.63671875}
{'pid': 472, 'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 12.20703125}
{'pid': 568, 'name': 'svchost.exe', 'username': None, 'vms': 1.9921875}
{'pid': 648, 'name': 'ctfmon.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.12890625}
{'pid': 656, 'name': 'csrss.exe', 'username': None, 'vms': 2.08984375}
{'pid': 768, 'name': 'wininit.exe', 'username': None, 'vms': 1.78515625}
{'pid': 840, 'name': 'services.exe', 'username': None, 'vms': 6.56640625}
{'pid': 852, 'name': 'lsass.exe', 'username': None, 'vms': 12.70703125}
{'pid': 924, 'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 43.43359375}
{'pid': 984, 'name': 'svchost.exe', 'username': None, 'vms': 0.953125}
{'pid': 1048, 'name': 'svchost.exe', 'username': None, 'vms': 13.3046875}
{'pid': 1096, 'name': 'svchost.exe', 'username': None, 'vms': 4.08984375}
{'pid': 1260, 'name': 'NVDisplay.Container.exe', 'username': None, 'vms': 9.7421875}
{'pid': 1300, 'name': 'svchost.exe', 'username': None, 'vms': 2.921875}
{'pid': 1396, 'name': 'svchost.exe', 'username': None, 'vms': 2.6015625}
{'pid': 1440, 'name': 'svchost.exe', 'username': None, 'vms': 1.63671875}
{'pid': 1484, 'name': 'svchost.exe', 'username': None, 'vms': 8.6171875}
{'pid': 1520, 'name': 'svchost.exe', 'username': None, 'vms': 10.16796875}
{'pid': 1604, 'name': 'EpicGamesLauncher.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 200.94921875}
{'pid': 1608, 'name': 'svchost.exe', 'username': None, 'vms': 3.40625}
{'pid': 1624, 'name': 'svchost.exe', 'username': None, 'vms': 2.859375}
{'pid': 1632, 'name': 'svchost.exe', 'username': None, 'vms': 16.8046875}
{'pid': 1752, 'name': 'svchost.exe', 'username': None, 'vms': 10.18359375}
{'pid': 1832, 'name': 'svchost.exe', 'username': None, 'vms': 3.34765625}
