--------------------------------------------------------------------------------
Process Log at Mon Aug 10 19:36:43 2020
--------------------------------------------------------------------------------
{'username': None, 'pid': 2380, 'create_time': 1597002003.0, 'name': 'svchost.exe', 'vms': 4.62109375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 2396, 'create_time': 1597065275.0, 'name': 'chrome.exe', 'vms': 19.49609375}
{'username': None, 'pid': 2424, 'create_time': 1597002003.0, 'name': 'igfxCUIService.exe', 'vms': 2.00390625}
{'username': None, 'pid': 2456, 'create_time': 1597002003.0, 'name': 'svchost.exe', 'vms': 1.5546875}
{'username': None, 'pid': 2524, 'create_time': 1597002003.0, 'name': 'svchost.exe', 'vms': 2.79296875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 2540, 'create_time': 1597065283.0, 'name': 'RAVBg64.exe', 'vms': 6.50390625}
{'username': None, 'pid': 2552, 'create_time': 1597002003.0, 'name': 'svchost.exe', 'vms': 3.296875}
{'username': None, 'pid': 2596, 'create_time': 1597002003.0, 'name': 'svchost.exe', 'vms': 1.8984375}
{'username': None, 'pid': 2604, 'create_time': 1597002003.0, 'name': 'svchost.exe', 'vms': 1.94140625}
{'username': None, 'pid': 2628, 'create_time': 1597002787.0, 'name': 'svchost.exe', 'vms': 2.96484375}
{'username': None, 'pid': 2728, 'create_time': 1597002003.0, 'name': 'svchost.exe', 'vms': 2.8671875}
{'username': None, 'pid': 2812, 'create_time': 1597056539.0, 'name': 'dwm.exe', 'vms': 61.328125}
{'username': None, 'pid': 2856, 'create_time': 1597002003.0, 'name': 'svchost.exe', 'vms': 2.39453125}
{'username': None, 'pid': 2924, 'create_time': 1597002004.0, 'name': 'svchost.exe', 'vms': 3.37109375}
{'username': None, 'pid': 3028, 'create_time': 1597002004.0, 'name': 'svchost.exe', 'vms': 1.78125}
{'username': None, 'pid': 3036, 'create_time': 1597002004.0, 'name': 'svchost.exe', 'vms': 2.83984375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3088, 'create_time': 1597065348.0, 'name': 'ApplicationFrameHost.exe', 'vms': 21.14453125}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3124, 'create_time': 1597065278.0, 'name': 'RuntimeBroker.exe', 'vms': 3.29296875}
{'username': None, 'pid': 3148, 'create_time': 1597068400.0, 'name': 'SearchFilterHost.exe', 'vms': 1.53515625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3192, 'create_time': 1597065275.0, 'name': 'chrome.exe', 'vms': 33.51171875}
{'username': None, 'pid': 3252, 'create_time': 1597038812.0, 'name': 'svchost.exe', 'vms': 4.89453125}
{'username': None, 'pid': 3256, 'create_time': 1597002004.0, 'name': 'svchost.exe', 'vms': 6.4140625}
{'username': None, 'pid': 3276, 'create_time': 1597002006.0, 'name': 'svchost.exe', 'vms': 2.1953125}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3304, 'create_time': 1597065270.0, 'name': 'YourPhone.exe', 'vms': 22.921875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3320, 'create_time': 1597065290.0, 'name': 'Skype.exe', 'vms': 39.0859375}
{'username': None, 'pid': 3348, 'create_time': 1597002005.0, 'name': 'svchost.exe', 'vms': 2.9609375}
{'username': None, 'pid': 3368, 'create_time': 1597002005.0, 'name': 'AvastSvc.exe', 'vms': 185.140625}
{'username': None, 'pid': 3432, 'create_time': 1597002005.0, 'name': 'svchost.exe', 'vms': 9.375}
{'username': None, 'pid': 3596, 'create_time': 1597056539.0, 'name': 'fontdrvhost.exe', 'vms': 3.87109375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3652, 'create_time': 1597066630.0, 'name': 'python.exe', 'vms': 123.0546875}
{'username': None, 'pid': 3744, 'create_time': 1597002013.0, 'name': 'svchost.exe', 'vms': 6.44140625}
{'username': None, 'pid': 3764, 'create_time': 1597002006.0, 'name': 'spoolsv.exe', 'vms': 5.18359375}
{'username': None, 'pid': 3796, 'create_time': 1597002006.0, 'name': 'svchost.exe', 'vms': 11.3125}
{'username': None, 'pid': 3912, 'create_time': 1597002006.0, 'name': 'svchost.exe', 'vms': 2.015625}
{'username': None, 'pid': 4128, 'create_time': 1597002006.0, 'name': 'mDNSResponder.exe', 'vms': 1.953125}
{'username': None, 'pid': 4136, 'create_time': 1597002006.0, 'name': 'AdminService.exe', 'vms': 4.2890625}
{'username': None, 'pid': 4144, 'create_time': 1597002006.0, 'name': 'AiSquared.Magnification.Service.exe', 'vms': 2.84765625}
{'username': None, 'pid': 4152, 'create_time': 1597002006.0, 'name': 'Crypserv.exe', 'vms': 3.2265625}
{'username': None, 'pid': 4160, 'create_time': 1597002006.0, 'name': 'svchost.exe', 'vms': 19.2734375}
{'username': None, 'pid': 4176, 'create_time': 1597002006.0, 'name': 'svchost.exe', 'vms': 21.0234375}
{'username': None, 'pid': 4184, 'create_time': 1597002006.0, 'name': 'svchost.exe', 'vms': 6.0078125}
{'username': None, 'pid': 4208, 'create_time': 1597002006.0, 'name': 'svchost.exe', 'vms': 1.5859375}
{'username': None, 'pid': 4216, 'create_time': 1597002006.0, 'name': 'svchost.exe', 'vms': 5.0546875}
{'username': None, 'pid': 4228, 'create_time': 1597002006.0, 'name': 'svchost.exe', 'vms': 1.52734375}
{'username': None, 'pid': 4244, 'create_time': 1597002006.0, 'name': 'ZoomTextHelperService.exe', 'vms': 0.859375}
{'username': None, 'pid': 4252, 'create_time': 1597002006.0, 'name': 'armsvc.exe', 'vms': 1.82421875}
{'username': None, 'pid': 4260, 'create_time': 1597002006.0, 'name': 'svchost.exe', 'vms': 2.0}
{'username': None, 'pid': 4268, 'create_time': 1597002006.0, 'name': 'svchost.exe', 'vms': 1.25390625}
{'username': None, 'pid': 4276, 'create_time': 1597002006.0, 'name': 'svchost.exe', 'vms': 5.07421875}
{'username': None, 'pid': 4284, 'create_time': 1597002006.0, 'name': 'Lavasoft.WCAssistant.WinService.exe', 'vms': 36.875}
{'username': None, 'pid': 4292, 'create_time': 1597002006.0, 'name': 'Updater.exe', 'vms': 4.83203125}
{'username': None, 'pid': 4300, 'create_time': 1597002006.0, 'name': 'AppleMobileDeviceService.exe', 'vms': 3.453125}
{'username': None, 'pid': 4312, 'create_time': 1597002006.0, 'name': 'nvcontainer.exe', 'vms': 13.71875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4328, 'create_time': 1597065281.0, 'name': 'SecurityHealthSystray.exe', 'vms': 2.06640625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4336, 'create_time': 1597066268.0, 'name': 'chrome.exe', 'vms': 75.25390625}
{'username': None, 'pid': 4364, 'create_time': 1597002006.0, 'name': 'OfficeClickToRun.exe', 'vms': 34.46875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4408, 'create_time': 1597068400.0, 'name': 'python.exe', 'vms': 99.8046875}
{'username': None, 'pid': 4416, 'create_time': 1597002352.0, 'name': 'svchost.exe', 'vms': 5.09765625}
{'username': None, 'pid': 4436, 'create_time': 1597002006.0, 'name': 'svchost.exe', 'vms': 2.3359375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4472, 'create_time': 1597065270.0, 'name': 'conhost.exe', 'vms': 6.50390625}
{'username': None, 'pid': 4576, 'create_time': 1597002006.0, 'name': 'svchost.exe', 'vms': 2.3515625}
{'username': None, 'pid': 4816, 'create_time': 1597002006.0, 'name': 'svchost.exe', 'vms': 1.30078125}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4832, 'create_time': 1597068400.0, 'name': 'conhost.exe', 'vms': 6.515625}
{'username': None, 'pid': 4872, 'create_time': 1597002006.0, 'name': 'svchost.exe', 'vms': 3.5546875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4916, 'create_time': 1597065271.0, 'name': 'SettingSyncHost.exe', 'vms': 5.1015625}
{'username': None, 'pid': 4972, 'create_time': 1597002006.0, 'name': 'dasHost.exe', 'vms': 1.25}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5148, 'create_time': 1597065275.0, 'name': 'chrome.exe', 'vms': 17.74609375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5188, 'create_time': 1597066663.0, 'name': 'powershell.exe', 'vms': 66.51953125}
{'username': None, 'pid': 5324, 'create_time': 1597002010.0, 'name': 'svchost.exe', 'vms': 1.80859375}
{'username': None, 'pid': 5568, 'create_time': 1597002007.0, 'name': 'svchost.exe', 'vms': 2.24609375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5620, 'create_time': 1597065284.0, 'name': 'NVIDIA Share.exe', 'vms': 20.66796875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5728, 'create_time': 1597068402.0, 'name': 'python.exe', 'vms': 271.71875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5780, 'create_time': 1597065264.0, 'name': 'sihost.exe', 'vms': 7.02734375}
{'username': None, 'pid': 5888, 'create_time': 1597002007.0, 'name': 'svchost.exe', 'vms': 2.33203125}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5976, 'create_time': 1597066225.0, 'name': 'dllhost.exe', 'vms': 2.31640625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6028, 'create_time': 1597065270.0, 'name': 'NVIDIA Web Helper.exe', 'vms': 33.18359375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6188, 'create_time': 1597066623.0, 'name': 'Code.exe', 'vms': 87.5390625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6232, 'create_time': 1597065274.0, 'name': 'chrome.exe', 'vms': 246.45703125}
{'username': None, 'pid': 6248, 'create_time': 1597002010.0, 'name': 'aswEngSrv.exe', 'vms': 50.125}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6276, 'create_time': 1597065264.0, 'name': 'taskhostw.exe', 'vms': 6.6875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6500, 'create_time': 1597065379.0, 'name': 'RuntimeBroker.exe', 'vms': 3.44921875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6512, 'create_time': 1597065711.0, 'name': 'chrome.exe', 'vms': 34.59375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6524, 'create_time': 1597065276.0, 'name': 'SearchUI.exe', 'vms': 99.2109375}
