--------------------------------------------------------------------------------
Process Log at Sat Aug  8 20:19:12 2020
--------------------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.19921875}
{'pid': 84, 'username': None, 'name': 'svchost.exe', 'vms': 27.2421875}
{'pid': 120, 'username': None, 'name': 'Registry', 'vms': 13.4140625}
{'pid': 264, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'jusched.exe', 'vms': 1.78125}
{'pid': 424, 'username': None, 'name': 'smss.exe', 'vms': 1.15234375}
{'pid': 468, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.63671875}
{'pid': 472, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'vms': 12.20703125}
{'pid': 568, 'username': None, 'name': 'svchost.exe', 'vms': 1.890625}
{'pid': 648, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'ctfmon.exe', 'vms': 4.12890625}
{'pid': 656, 'username': None, 'name': 'csrss.exe', 'vms': 2.08984375}
{'pid': 768, 'username': None, 'name': 'wininit.exe', 'vms': 1.78515625}
{'pid': 840, 'username': None, 'name': 'services.exe', 'vms': 6.66796875}
{'pid': 852, 'username': None, 'name': 'lsass.exe', 'vms': 12.5703125}
{'pid': 924, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'vms': 43.3359375}
{'pid': 984, 'username': None, 'name': 'svchost.exe', 'vms': 0.953125}
{'pid': 1048, 'username': None, 'name': 'svchost.exe', 'vms': 13.28125}
{'pid': 1096, 'username': None, 'name': 'svchost.exe', 'vms': 4.03515625}
{'pid': 1128, 'username': None, 'name': 'svchost.exe', 'vms': 3.44921875}
{'pid': 1260, 'username': None, 'name': 'NVDisplay.Container.exe', 'vms': 9.6953125}
{'pid': 1300, 'username': None, 'name': 'svchost.exe', 'vms': 2.76171875}
{'pid': 1396, 'username': None, 'name': 'svchost.exe', 'vms': 2.6015625}
{'pid': 1440, 'username': None, 'name': 'svchost.exe', 'vms': 1.63671875}
{'pid': 1484, 'username': None, 'name': 'svchost.exe', 'vms': 8.6640625}
{'pid': 1520, 'username': None, 'name': 'svchost.exe', 'vms': 10.10546875}
{'pid': 1604, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'EpicGamesLauncher.exe', 'vms': 200.94921875}
{'pid': 1608, 'username': None, 'name': 'svchost.exe', 'vms': 3.40625}
{'pid': 1624, 'username': None, 'name': 'svchost.exe', 'vms': 2.890625}
{'pid': 1632, 'username': None, 'name': 'svchost.exe', 'vms': 16.8125}
{'pid': 1752, 'username': None, 'name': 'svchost.exe', 'vms': 10.12890625}
{'pid': 1832, 'username': None, 'name': 'svchost.exe', 'vms': 3.3046875}
{'pid': 1872, 'username': None, 'name': 'WUDFHost.exe', 'vms': 1.90625}
{'pid': 1944, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'svchost.exe', 'vms': 4.08203125}
{'pid': 1960, 'username': None, 'name': 'svchost.exe', 'vms': 6.33203125}
{'pid': 2036, 'username': None, 'name': 'svchost.exe', 'vms': 1.875}
{'pid': 2044, 'username': None, 'name': 'svchost.exe', 'vms': 2.77734375}
{'pid': 2168, 'username': None, 'name': 'svchost.exe', 'vms': 2.921875}
{'pid': 2176, 'username': None, 'name': 'svchost.exe', 'vms': 1.41796875}
{'pid': 2184, 'username': None, 'name': 'svchost.exe', 'vms': 2.19140625}
{'pid': 2196, 'username': None, 'name': 'svchost.exe', 'vms': 5.3203125}
{'pid': 2208, 'username': None, 'name': 'wsc_proxy.exe', 'vms': 4.03515625}
{'pid': 2288, 'username': None, 'name': 'svchost.exe', 'vms': 1.734375}
{'pid': 2308, 'username': None, 'name': 'svchost.exe', 'vms': 2.80859375}
{'pid': 2368, 'username': None, 'name': 'svchost.exe', 'vms': 3.22265625}
{'pid': 2448, 'username': None, 'name': 'Memory Compression', 'vms': 0.65625}
{'pid': 2496, 'username': None, 'name': 'svchost.exe', 'vms': 2.44921875}
{'pid': 2556, 'username': None, 'name': 'igfxCUIService.exe', 'vms': 2.0078125}
{'pid': 2564, 'username': None, 'name': 'svchost.exe', 'vms': 4.11328125}
{'pid': 2660, 'username': None, 'name': 'svchost.exe', 'vms': 2.57421875}
{'pid': 2736, 'username': None, 'name': 'svchost.exe', 'vms': 4.4375}
{'pid': 2772, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'ZtUac64.exe', 'vms': 1.58984375}
{'pid': 2880, 'username': None, 'name': 'svchost.exe', 'vms': 2.1328125}
{'pid': 2888, 'username': None, 'name': 'svchost.exe', 'vms': 2.16796875}
{'pid': 2924, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'PSAgent.exe', 'vms': 4.375}
{'pid': 2988, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'AcerRegistrationBackGroundTask.exe', 'vms': 40.4609375}
{'pid': 2992, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'dllhost.exe', 'vms': 2.05859375}
{'pid': 3016, 'username': None, 'name': 'svchost.exe', 'vms': 5.10546875}
{'pid': 3088, 'username': None, 'name': 'svchost.exe', 'vms': 1.93359375}
{'pid': 3096, 'username': None, 'name': 'svchost.exe', 'vms': 3.11328125}
{'pid': 3204, 'username': None, 'name': 'svchost.exe', 'vms': 2.44921875}
{'pid': 3228, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'NVIDIA Share.exe', 'vms': 49.48046875}
{'pid': 3280, 'username': None, 'name': 'svchost.exe', 'vms': 7.0390625}
{'pid': 3396, 'username': None, 'name': 'svchost.exe', 'vms': 5.41015625}
{'pid': 3404, 'username': None, 'name': 'AvastSvc.exe', 'vms': 339.58984375}
{'pid': 3424, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'AvastUI.exe', 'vms': 38.15625}
{'pid': 3464, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'SearchUI.exe', 'vms': 100.27734375}
{'pid': 3496, 'username': None, 'name': 'svchost.exe', 'vms': 5.75390625}
{'pid': 3504, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'sihost.exe', 'vms': 7.265625}
{'pid': 3544, 'username': None, 'name': 'svchost.exe', 'vms': 1.359375}
{'pid': 3556, 'username': None, 'name': 'svchost.exe', 'vms': 1.6171875}
{'pid': 3568, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'NVIDIA Share.exe', 'vms': 23.96875}
{'pid': 3604, 'username': None, 'name': 'svchost.exe', 'vms': 3.70703125}
{'pid': 3612, 'username': None, 'name': 'PresentationFontCache.exe', 'vms': 24.32421875}
{'pid': 3636, 'username': None, 'name': 'ZoomTextHelperService.exe', 'vms': 0.8515625}
{'pid': 3740, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'SystemSettings.exe', 'vms': 23.75}
{'pid': 3776, 'username': None, 'name': 'svchost.exe', 'vms': 6.046875}
{'pid': 4072, 'username': None, 'name': 'svchost.exe', 'vms': 1.890625}
{'pid': 4252, 'username': None, 'name': 'spoolsv.exe', 'vms': 6.19921875}
{'pid': 4260, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'AiSquared.Loader.Generic.exe', 'vms': 38.41015625}
{'pid': 4280, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'vms': 7.671875}
{'pid': 4288, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'taskhostw.exe', 'vms': 8.33984375}
{'pid': 4296, 'username': None, 'name': 'SearchProtocolHost.exe', 'vms': 3.03515625}
{'pid': 4324, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'powershell.exe', 'vms': 63.484375}
{'pid': 4332, 'username': None, 'name': 'svchost.exe', 'vms': 2.546875}
{'pid': 4392, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'vms': 5.7890625}
{'pid': 4412, 'username': None, 'name': 'svchost.exe', 'vms': 11.76171875}
{'pid': 4460, 'username': None, 'name': 'svchost.exe', 'vms': 2.2734375}
{'pid': 4468, 'username': None, 'name': 'svchost.exe', 'vms': 29.9765625}
{'pid': 4480, 'username': None, 'name': 'svchost.exe', 'vms': 23.5859375}
