--------------------------------------------------------------------------------
Process Log at Fri Aug 14 18:15:44 2020
--------------------------------------------------------------------------------
{'num_threads': 3, 'username': None, 'num_handles': 250, 'ppid': 868, 'memory_percent': 0.05213104558645025, 'pid': 1368, 'name': 'svchost.exe', 'create_time': 1597390661.0, 'vms': 2.12109375}
{'num_threads': 7, 'username': None, 'num_handles': 236, 'ppid': 868, 'memory_percent': 0.06341690068807698, 'pid': 1388, 'name': 'svchost.exe', 'create_time': 1597390673.0, 'vms': 2.75390625}
{'num_threads': 6, 'username': None, 'num_handles': 134, 'ppid': 868, 'memory_percent': 0.03645091073248802, 'pid': 1428, 'name': 'svchost.exe', 'create_time': 1597390661.0, 'vms': 1.54296875}
{'num_threads': 7, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 320, 'ppid': 868, 'memory_percent': 0.14297017292571387, 'pid': 1456, 'name': 'svchost.exe', 'create_time': 1597390696.0, 'vms': 4.1640625}
{'num_threads': 13, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 233, 'ppid': 2328, 'memory_percent': 0.21193395133395207, 'pid': 1476, 'name': 'Code.exe', 'create_time': 1597408989.0, 'vms': 19.09375}
{'num_threads': 23, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 373, 'ppid': 2328, 'memory_percent': 0.8641843388349877, 'pid': 1516, 'name': 'Code.exe', 'create_time': 1597408987.0, 'vms': 120.95703125}
{'num_threads': 10, 'username': None, 'num_handles': 432, 'ppid': 868, 'memory_percent': 0.11141780355648512, 'pid': 1572, 'name': 'svchost.exe', 'create_time': 1597390661.0, 'vms': 15.08984375}
{'num_threads': 2, 'username': None, 'num_handles': 153, 'ppid': 868, 'memory_percent': 0.051602771517863466, 'pid': 1624, 'name': 'svchost.exe', 'create_time': 1597390661.0, 'vms': 1.77734375}
{'num_threads': 4, 'username': None, 'num_handles': 152, 'ppid': 868, 'memory_percent': 0.05561285194759041, 'pid': 1676, 'name': 'svchost.exe', 'create_time': 1597390661.0, 'vms': 5.02734375}
{'num_threads': 9, 'username': None, 'num_handles': 235, 'ppid': 868, 'memory_percent': 0.04694435473123457, 'pid': 1708, 'name': 'svchost.exe', 'create_time': 1597390661.0, 'vms': 2.46875}
{'num_threads': 5, 'username': None, 'num_handles': 221, 'ppid': 868, 'memory_percent': 0.07431855646709513, 'pid': 1732, 'name': 'svchost.exe', 'create_time': 1597390832.0, 'vms': 3.08203125}
{'num_threads': 7, 'username': None, 'num_handles': 323, 'ppid': 868, 'memory_percent': 0.10042009794681481, 'pid': 1800, 'name': 'NVDisplay.Container.exe', 'create_time': 1597390661.0, 'vms': 5.73828125}
{'num_threads': 17, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 348, 'ppid': 2924, 'memory_percent': 0.631623686368488, 'pid': 1840, 'name': 'chrome.exe', 'create_time': 1597408581.0, 'vms': 69.828125}
{'num_threads': 5, 'username': None, 'num_handles': 302, 'ppid': 868, 'memory_percent': 0.07760826316693101, 'pid': 1864, 'name': 'svchost.exe', 'create_time': 1597390661.0, 'vms': 2.74609375}
{'num_threads': 7, 'username': None, 'num_handles': 381, 'ppid': 868, 'memory_percent': 0.07609547833415976, 'pid': 1892, 'name': 'svchost.exe', 'create_time': 1597390661.0, 'vms': 4.72265625}
{'num_threads': 10, 'username': None, 'num_handles': 407, 'ppid': 868, 'memory_percent': 0.09660211717839215, 'pid': 1920, 'name': 'svchost.exe', 'create_time': 1597390661.0, 'vms': 6.3828125}
{'num_threads': 4, 'username': None, 'num_handles': 174, 'ppid': 868, 'memory_percent': 0.04778479074944081, 'pid': 1936, 'name': 'svchost.exe', 'create_time': 1597403261.0, 'vms': 2.21484375}
{'num_threads': 6, 'username': None, 'num_handles': 182, 'ppid': 868, 'memory_percent': 0.06344091314574002, 'pid': 1952, 'name': 'svchost.exe', 'create_time': 1597390661.0, 'vms': 2.24609375}
{'num_threads': 12, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 524, 'ppid': 2924, 'memory_percent': 0.43123972717045606, 'pid': 2012, 'name': 'chrome.exe', 'create_time': 1597408578.0, 'vms': 51.83203125}
{'num_threads': 6, 'username': None, 'num_handles': 304, 'ppid': 868, 'memory_percent': 0.06711481916818446, 'pid': 2052, 'name': 'wsc_proxy.exe', 'create_time': 1597390661.0, 'vms': 3.9609375}
{'num_threads': 17, 'username': None, 'num_handles': 307, 'ppid': 868, 'memory_percent': 0.052251107874765425, 'pid': 2104, 'name': 'svchost.exe', 'create_time': 1597390661.0, 'vms': 3.63671875}
{'num_threads': 2, 'username': None, 'num_handles': 182, 'ppid': 868, 'memory_percent': 0.05177085872150472, 'pid': 2184, 'name': 'svchost.exe', 'create_time': 1597390662.0, 'vms': 1.94140625}
{'num_threads': 50, 'username': None, 'num_handles': 0, 'ppid': 4, 'memory_percent': 0.09458507073469716, 'pid': 2232, 'name': 'Memory Compression', 'create_time': 1597390662.0, 'vms': 0.14453125}
{'num_threads': 2, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 128, 'ppid': 92, 'memory_percent': 0.049153500836233835, 'pid': 2276, 'name': 'RuntimeBroker.exe', 'create_time': 1597398096.0, 'vms': 1.80078125}
{'num_threads': 7, 'username': None, 'num_handles': 318, 'ppid': 868, 'memory_percent': 0.06279257678883805, 'pid': 2280, 'name': 'svchost.exe', 'create_time': 1597390662.0, 'vms': 2.8671875}
{'num_threads': 31, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 561, 'ppid': 6620, 'memory_percent': 1.8523930214995539, 'pid': 2328, 'name': 'Code.exe', 'create_time': 1597408986.0, 'vms': 283.74609375}
{'num_threads': 2, 'username': None, 'num_handles': 170, 'ppid': 868, 'memory_percent': 0.05249123245139578, 'pid': 2332, 'name': 'igfxCUIService.exe', 'create_time': 1597390662.0, 'vms': 1.828125}
{'num_threads': 10, 'username': None, 'num_handles': 528, 'ppid': 868, 'memory_percent': 0.055420752286286123, 'pid': 2340, 'name': 'svchost.exe', 'create_time': 1597390662.0, 'vms': 2.921875}
{'num_threads': 14, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 546, 'ppid': 92, 'memory_percent': 0.3537515262918402, 'pid': 2360, 'name': 'ShellExperienceHost.exe', 'create_time': 1597396274.0, 'vms': 17.01953125}
{'num_threads': 9, 'username': None, 'num_handles': 216, 'ppid': 868, 'memory_percent': 0.11482757254463616, 'pid': 2384, 'name': 'svchost.exe', 'create_time': 1597390662.0, 'vms': 9.9765625}
{'num_threads': 8, 'username': None, 'num_handles': 275, 'ppid': 868, 'memory_percent': 0.09614588048279447, 'pid': 2404, 'name': 'svchost.exe', 'create_time': 1597390734.0, 'vms': 4.8984375}
{'num_threads': 4, 'username': None, 'num_handles': 273, 'ppid': 868, 'memory_percent': 0.07448664367073637, 'pid': 2416, 'name': 'LMS.exe', 'create_time': 1597390793.0, 'vms': 3.28515625}
{'num_threads': 1, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 128, 'ppid': 11632, 'memory_percent': 0.13190042994305445, 'pid': 2548, 'name': 'python.exe', 'create_time': 1597409143.0, 'vms': 15.49609375}
