--------------------------------------------------------------------------------
Process Log at Thu Apr 25 15:38:18 2019
--------------------------------------------------------------------------------
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3240, 'vms': 22.83984375}
{'name': 'Lavasoft.WCAssistant.WinService.exe', 'username': None, 'pid': 3248, 'vms': 35.78515625}
{'name': 'nvcontainer.exe', 'username': None, 'pid': 3344, 'vms': 10.265625}
{'name': 'SearchUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3392, 'vms': 110.96875}
{'name': 'NVDisplay.Container.exe', 'username': None, 'pid': 3476, 'vms': 24.71875}
{'name': 'spoolsv.exe', 'username': None, 'pid': 3488, 'vms': 5.51953125}
{'name': 'svchost.exe', 'username': None, 'pid': 3504, 'vms': 2.09375}
{'name': 'NvTelemetryContainer.exe', 'username': None, 'pid': 3512, 'vms': 5.13671875}
{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 3584, 'vms': 35.8203125}
{'name': 'svchost.exe', 'username': None, 'pid': 3636, 'vms': 2.05859375}
{'name': 'backgroundTaskHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3920, 'vms': 5.90234375}
{'name': 'OneDrive.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 3984, 'vms': 32.63671875}
{'name': 'AdminService.exe', 'username': None, 'pid': 4008, 'vms': 3.20703125}
{'name': 'svchost.exe', 'username': None, 'pid': 4020, 'vms': 30.71484375}
{'name': 'mDNSResponder.exe', 'username': None, 'pid': 4028, 'vms': 1.828125}
{'name': 'svchost.exe', 'username': None, 'pid': 4036, 'vms': 6.71484375}
{'name': 'armsvc.exe', 'username': None, 'pid': 4044, 'vms': 1.32421875}
{'name': 'SkypeApp.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4052, 'vms': 156.296875}
{'name': 'svchost.exe', 'username': None, 'pid': 4088, 'vms': 1.66796875}
{'name': 'svchost.exe', 'username': None, 'pid': 4172, 'vms': 2.4375}
{'name': 'dasHost.exe', 'username': None, 'pid': 4464, 'vms': 1.23828125}
{'name': 'svchost.exe', 'username': None, 'pid': 4504, 'vms': 3.3984375}
{'name': 'svchost.exe', 'username': None, 'pid': 4716, 'vms': 1.4140625}
{'name': 'svchost.exe', 'username': None, 'pid': 4760, 'vms': 3.40625}
{'name': 'svchost.exe', 'username': None, 'pid': 5064, 'vms': 1.95703125}
{'name': 'svchost.exe', 'username': None, 'pid': 5184, 'vms': 2.1796875}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5316, 'vms': 6.11328125}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 5412, 'vms': 3.86328125}
{'name': 'svchost.exe', 'username': None, 'pid': 5704, 'vms': 2.390625}
{'name': 'dwm.exe', 'username': None, 'pid': 5716, 'vms': 69.53125}
{'name': 'svchost.exe', 'username': None, 'pid': 5984, 'vms': 3.65625}
{'name': 'AvastUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6116, 'vms': 33.6171875}
{'name': 'svchost.exe', 'username': None, 'pid': 6172, 'vms': 5.078125}
{'name': 'svchost.exe', 'username': None, 'pid': 6240, 'vms': 2.9296875}
{'name': 'DolbyDAX2TrayIcon.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6280, 'vms': 3.7578125}
{'name': 'svchost.exe', 'username': None, 'pid': 6316, 'vms': 3.7109375}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6500, 'vms': 24.6328125}
{'name': 'jusched.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6552, 'vms': 1.5234375}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6592, 'vms': 2.3515625}
{'name': 'svchost.exe', 'username': None, 'pid': 6712, 'vms': 1.859375}
{'name': 'svchost.exe', 'username': None, 'pid': 6764, 'vms': 4.0546875}
{'name': 'csrss.exe', 'username': None, 'pid': 6796, 'vms': 2.4375}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6804, 'vms': 20.8671875}
{'name': 'nvcontainer.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6860, 'vms': 23.08984375}
{'name': 'svchost.exe', 'username': None, 'pid': 6924, 'vms': 3.1875}
{'name': 'cmd.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7452, 'vms': 3.4453125}
{'name': 'jhi_service.exe', 'username': None, 'pid': 7568, 'vms': 1.3828125}
{'name': 'nvcontainer.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7704, 'vms': 7.4921875}
{'name': 'LMS.exe', 'username': None, 'pid': 7816, 'vms': 3.62109375}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7912, 'vms': 50.33203125}
{'name': 'svchost.exe', 'username': None, 'pid': 7956, 'vms': 3.43359375}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 8008, 'vms': 44.73046875}
