--------------------------------------------------------------------------------
Process Log at Thu Jun 13 15:44:35 2019
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'pid': 2452, 'username': None, 'vms': 2.9375}
{'name': 'AvastSvc.exe', 'pid': 2460, 'username': None, 'vms': 167.14453125}
{'name': 'Lavasoft.WCAssistant.WinService.exe', 'pid': 2676, 'username': None, 'vms': 36.43359375}
{'name': 'svchost.exe', 'pid': 2696, 'username': None, 'vms': 3.67578125}
{'name': 'svchost.exe', 'pid': 2756, 'username': None, 'vms': 12.83203125}
{'name': 'spoolsv.exe', 'pid': 2800, 'username': None, 'vms': 5.3671875}
{'name': 'svchost.exe', 'pid': 2836, 'username': None, 'vms': 11.39453125}
{'name': 'svchost.exe', 'pid': 2856, 'username': None, 'vms': 2.1796875}
{'name': 'chrome.exe', 'pid': 2872, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 46.98828125}
{'name': 'svchost.exe', 'pid': 2876, 'username': None, 'vms': 1.34765625}
{'name': 'svchost.exe', 'pid': 2892, 'username': None, 'vms': 2.6015625}
{'name': 'OfficeClickToRun.exe', 'pid': 2944, 'username': None, 'vms': 31.66015625}
{'name': 'armsvc.exe', 'pid': 3056, 'username': None, 'vms': 1.34765625}
{'name': 'svchost.exe', 'pid': 3064, 'username': None, 'vms': 1.765625}
{'name': 'AppleMobileDeviceService.exe', 'pid': 3080, 'username': None, 'vms': 3.45703125}
{'name': 'svchost.exe', 'pid': 3088, 'username': None, 'vms': 2.0546875}
{'name': 'mDNSResponder.exe', 'pid': 3096, 'username': None, 'vms': 1.8984375}
{'name': 'svchost.exe', 'pid': 3108, 'username': None, 'vms': 33.5625}
{'name': 'Updater.exe', 'pid': 3116, 'username': None, 'vms': 4.71875}
{'name': 'nvcontainer.exe', 'pid': 3124, 'username': None, 'vms': 10.30859375}
{'name': 'SecurityHealthService.exe', 'pid': 3132, 'username': None, 'vms': 4.4140625}
{'name': 'svchost.exe', 'pid': 3280, 'username': None, 'vms': 2.43359375}
{'name': 'python.exe', 'pid': 3296, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.828125}
{'name': 'explorer.exe', 'pid': 3332, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 80.80859375}
{'name': 'dasHost.exe', 'pid': 3460, 'username': None, 'vms': 1.12109375}
{'name': 'svchost.exe', 'pid': 3472, 'username': None, 'vms': 3.48828125}
{'name': 'python.exe', 'pid': 3480, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 175.296875}
{'name': 'svchost.exe', 'pid': 3508, 'username': None, 'vms': 2.59375}
{'name': 'python.exe', 'pid': 3524, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.8125}
{'name': 'chrome.exe', 'pid': 3528, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 14.55078125}
{'name': 'NVIDIA Share.exe', 'pid': 3544, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 19.15234375}
{'name': 'python.exe', 'pid': 3568, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.8203125}
{'name': 'chrome.exe', 'pid': 3600, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 42.18359375}
{'name': 'svchost.exe', 'pid': 3824, 'username': None, 'vms': 2.30859375}
{'name': 'svchost.exe', 'pid': 3856, 'username': None, 'vms': 3.453125}
{'name': 'RAVCpl64.exe', 'pid': 3948, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.609375}
{'name': 'svchost.exe', 'pid': 3956, 'username': None, 'vms': 2.1484375}
{'name': 'fontdrvhost.exe', 'pid': 4004, 'username': None, 'vms': 3.9453125}
{'name': 'conhost.exe', 'pid': 4176, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.41796875}
{'name': 'python.exe', 'pid': 4236, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.52734375}
{'name': 'conhost.exe', 'pid': 4340, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4375}
{'name': 'chrome.exe', 'pid': 4376, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.4140625}
{'name': 'conhost.exe', 'pid': 4400, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4375}
{'name': 'chrome.exe', 'pid': 4428, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.45703125}
{'name': 'winlogon.exe', 'pid': 4500, 'username': None, 'vms': 2.66015625}
{'name': 'conhost.exe', 'pid': 4528, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.43359375}
{'name': 'python.exe', 'pid': 4532, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.7734375}
{'name': 'svchost.exe', 'pid': 4560, 'username': None, 'vms': 4.27734375}
{'name': 'conhost.exe', 'pid': 4680, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4140625}
{'name': 'nvcontainer.exe', 'pid': 4692, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 32.80078125}
{'name': 'NVIDIA Share.exe', 'pid': 4740, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 50.7890625}
{'name': 'taskhostw.exe', 'pid': 5016, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.83203125}
{'name': 'svchost.exe', 'pid': 5316, 'username': None, 'vms': 3.1640625}
{'name': 'RuntimeBroker.exe', 'pid': 5336, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.27734375}
{'name': 'svchost.exe', 'pid': 5348, 'username': None, 'vms': 3.5390625}
{'name': 'svchost.exe', 'pid': 5408, 'username': None, 'vms': 2.140625}
{'name': 'aswidsagent.exe', 'pid': 5492, 'username': None, 'vms': 28.734375}
{'name': 'RuntimeBroker.exe', 'pid': 5676, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.65625}
{'name': 'csrss.exe', 'pid': 5724, 'username': None, 'vms': 2.578125}
{'name': 'unsecapp.exe', 'pid': 5760, 'username': None, 'vms': 1.34375}
{'name': 'SearchUI.exe', 'pid': 5784, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 93.421875}
{'name': 'sublime_text.exe', 'pid': 5836, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 32.47265625}
{'name': 'chrome.exe', 'pid': 5920, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 241.11328125}
{'name': 'plugin_host.exe', 'pid': 5936, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 76.47265625}
{'name': 'PSSvc.exe', 'pid': 6056, 'username': None, 'vms': 10.68359375}
{'name': 'dllhost.exe', 'pid': 6072, 'username': None, 'vms': 3.45703125}
{'name': 'conhost.exe', 'pid': 6124, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4375}
{'name': 'svchost.exe', 'pid': 6224, 'username': None, 'vms': 2.0078125}
{'name': 'conhost.exe', 'pid': 6272, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4375}
{'name': 'svchost.exe', 'pid': 6276, 'username': None, 'vms': 2.6640625}
{'name': 'PresentationFontCache.exe', 'pid': 6392, 'username': None, 'vms': 25.8359375}
{'name': 'conhost.exe', 'pid': 6440, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4296875}
{'name': 'WmiPrvSE.exe', 'pid': 6448, 'username': None, 'vms': 18.80859375}
{'name': 'python.exe', 'pid': 6688, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.69921875}
{'name': 'NVIDIA Web Helper.exe', 'pid': 6724, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 30.3515625}
{'name': 'conhost.exe', 'pid': 6744, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.40625}
{'name': 'chrome.exe', 'pid': 6764, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 132.04296875}
{'name': 'python.exe', 'pid': 6772, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 174.8515625}
{'name': 'svchost.exe', 'pid': 6796, 'username': None, 'vms': 5.2734375}
{'name': 'GoogleCrashHandler64.exe', 'pid': 6920, 'username': None, 'vms': 1.73046875}
{'name': 'svchost.exe', 'pid': 7000, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.703125}
{'name': 'nvsphelper64.exe', 'pid': 7048, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.86328125}
{'name': 'AvastUI.exe', 'pid': 7152, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 38.09375}
{'name': 'GoogleCrashHandler.exe', 'pid': 7156, 'username': None, 'vms': 1.83203125}
{'name': 'python.exe', 'pid': 7180, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.74609375}
{'name': 'python.exe', 'pid': 7260, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 174.74609375}
{'name': 'chrome.exe', 'pid': 7356, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 24.7578125}
{'name': 'sihost.exe', 'pid': 7368, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 11.1171875}
{'name': 'conhost.exe', 'pid': 7396, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.3984375}
{'name': 'python.exe', 'pid': 7456, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.75390625}
{'name': 'smartscreen.exe', 'pid': 7492, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 12.59765625}
{'name': 'conhost.exe', 'pid': 7712, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4140625}
{'name': 'SkypeBackgroundHost.exe', 'pid': 7856, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.0703125}
{'name': 'svchost.exe', 'pid': 7876, 'username': None, 'vms': 2.19921875}
{'name': 'conhost.exe', 'pid': 7904, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4375}
{'name': 'chrome.exe', 'pid': 7992, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 37.5703125}
{'name': 'python.exe', 'pid': 8008, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 174.74609375}
{'name': 'conhost.exe', 'pid': 8012, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.44140625}
{'name': 'svchost.exe', 'pid': 8232, 'username': None, 'vms': 2.3125}
{'name': 'LMS.exe', 'pid': 8288, 'username': None, 'vms': 3.5859375}
{'name': 'conhost.exe', 'pid': 8312, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.43359375}
{'name': 'conhost.exe', 'pid': 8344, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.43359375}
{'name': 'NVDisplay.Container.exe', 'pid': 8428, 'username': None, 'vms': 25.24609375}
{'name': 'conhost.exe', 'pid': 8512, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.40625}
{'name': 'python.exe', 'pid': 8584, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.91015625}
{'name': 'RuntimeBroker.exe', 'pid': 8712, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.92578125}
{'name': 'svchost.exe', 'pid': 8768, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.4765625}
{'name': 'conhost.exe', 'pid': 8788, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.4140625}
{'name': 'python.exe', 'pid': 8796, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 174.62890625}
{'name': 'LockApp.exe', 'pid': 8812, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 11.0703125}
{'name': 'chrome.exe', 'pid': 8844, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 36.2265625}
{'name': 'DolbyDAX2API.exe', 'pid': 8848, 'username': None, 'vms': 27.83203125}
{'name': 'python.exe', 'pid': 8896, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.59765625}
{'name': 'python.exe', 'pid': 8996, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.87890625}
{'name': 'SgrmBroker.exe', 'pid': 9092, 'username': None, 'vms': 2.81640625}
{'name': 'SearchProtocolHost.exe', 'pid': 9116, 'username': None, 'vms': 2.78125}
{'name': 'conhost.exe', 'pid': 9140, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4140625}
{'name': 'python.exe', 'pid': 9152, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.8203125}
{'name': 'svchost.exe', 'pid': 9164, 'username': None, 'vms': 4.75390625}
{'name': 'svchost.exe', 'pid': 9188, 'username': None, 'vms': 3.7578125}
{'name': 'chrome.exe', 'pid': 9280, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 48.65625}
{'name': 'python.exe', 'pid': 9372, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.7265625}
{'name': 'dwm.exe', 'pid': 9448, 'username': None, 'vms': 66.5}
{'name': 'conhost.exe', 'pid': 9492, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4140625}
{'name': 'python.exe', 'pid': 9644, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.671875}
{'name': 'svchost.exe', 'pid': 9788, 'username': None, 'vms': 2.62109375}
{'name': 'RAVBg64.exe', 'pid': 9872, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.45703125}
{'name': 'python.exe', 'pid': 9892, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 174.796875}
{'name': 'svchost.exe', 'pid': 9916, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 10.3828125}
{'name': 'svchost.exe', 'pid': 9992, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 15.109375}
{'name': 'svchost.exe', 'pid': 10176, 'username': None, 'vms': 6.76171875}
{'name': 'conhost.exe', 'pid': 10192, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.40234375}
{'name': 'SearchFilterHost.exe', 'pid': 10252, 'username': None, 'vms': 1.8203125}
{'name': 'conhost.exe', 'pid': 10292, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.421875}
{'name': 'chrome.exe', 'pid': 10316, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 24.1875}
